Time stamp,YIELD_SP,YIELD_PV,WATER,MISHMERET,SILO
27/12/2023 08:00,55,55.4,0,0.25,0.25
27/12/2023 07:00,55,49.8,0,0.25,0.25
27/12/2023 06:00,55,51,0,0.25,0.25
27/12/2023 05:00,55,52.1,0,0.25,0.25
27/12/2023 04:00,55,54.3,2.7,0.25,0.25
27/12/2023 03:00,55,55.3,0,0.25,0.25
27/12/2023 02:00,55,53.7,0,0.25,0.25
27/12/2023 01:00,55,53.7,0,0.25,0.25
27/12/2023 00:00,55,54.2,0,0.25,0.25
26/12/2023 23:00,55,55.3,2.7,0.25,0.25
26/12/2023 22:00,55,55.4,3,0.25,0.25
26/12/2023 21:00,55,54.6,0,0.25,0.25
26/12/2023 20:00,55,53.8,0,0.25,0.25
26/12/2023 19:00,55,53.9,0,0.25,0.25
26/12/2023 18:00,55,54.9,1.8,0.25,0.25
26/12/2023 17:00,55,55.9,3,0.25,0.25
26/12/2023 16:00,55,57.2,3,0.25,0.25
26/12/2023 15:00,55,55.3,0.5,0.25,0.25
26/12/2023 14:00,55,53.1,0,0.25,0.25
26/12/2023 13:00,55,51.6,0,0.26,0.25
26/12/2023 12:00,55,53.3,0,0.26,0.25
26/12/2023 11:00,53,54.8,2.9,0.26,0.25
26/12/2023 10:00,53,55.8,3,0.26,0.25
26/12/2023 09:00,53,55.1,1.3,0.26,0.25
26/12/2023 08:00,53,53.6,0,0.26,0.25
26/12/2023 07:00,53,52,0,0.26,0.25
26/12/2023 06:00,53,50.9,0,0.26,0.25
26/12/2023 05:00,53,52.2,2.6,0.26,0.25
26/12/2023 04:00,53,52.8,0,0.26,0.25
26/12/2023 03:00,53,53.1,0,0.26,0.25
26/12/2023 02:00,53,51.6,0,0.26,0.25
26/12/2023 01:00,53,51.9,0.4,0.26,0.25
26/12/2023 00:00,53,52.1,0,0.26,0.25
25/12/2023 23:00,53,52.2,0,0.26,0.25
25/12/2023 22:00,53,52.3,2.9,0.26,0.25
25/12/2023 21:00,53,52.5,3,0.26,0.25
25/12/2023 20:00,53,52.7,0,0.26,0.25
25/12/2023 19:00,53,52.9,0,0.26,0.25
25/12/2023 18:00,53,53.1,0,0.26,0.25
25/12/2023 17:00,53,53.1,0,0.26,0.25
25/12/2023 16:00,53,52.5,0,0.26,0.25
25/12/2023 15:00,53,51.9,0,0.26,0.25
25/12/2023 14:00,53,51.3,0,0.26,0.25
25/12/2023 13:00,53,50.7,0,0.43,0.29
25/12/2023 12:00,53,50.1,0,0.43,0.29
25/12/2023 11:00,53,49.5,0,0.43,0.29
25/12/2023 10:00,53,48.8,0,0.43,0.29
25/12/2023 09:00,53,48.2,0,0.43,0.29
25/12/2023 08:00,53,41.5,0,0.43,0.29
25/12/2023 07:00,53,48.9,0,0.43,0.29
25/12/2023 06:00,53,52.4,1,0.43,0.29
25/12/2023 05:00,53,53.8,3,0.43,0.29
25/12/2023 04:00,53,60.2,0,0.43,0.29
25/12/2023 03:00,53,59.6,3,0.43,0.29
25/12/2023 02:00,53,54.1,0,0.43,0.29
25/12/2023 01:00,53,52.3,0,0.43,0.29
25/12/2023 00:00,53,50.5,0,0.43,0.29
24/12/2023 23:00,53,50.1,0,0.43,0.29
24/12/2023 22:00,53,49.8,0,0.43,0.29
24/12/2023 21:00,53,49.5,0,0.43,0.29
24/12/2023 20:00,53,49.2,0,0.43,0.29
24/12/2023 19:00,53,49,0,0.43,0.29
24/12/2023 18:00,53,48.7,0,0.43,0.29
24/12/2023 17:00,53,48.4,0,0.43,0.29
24/12/2023 16:00,53,47.5,0,0.43,0.29
24/12/2023 15:00,53,46.4,0,0.43,0.29
24/12/2023 14:00,53,46.6,0,0.43,0.29
24/12/2023 13:00,53,47,0,0.43,0.23
24/12/2023 12:00,53,46.9,0,0.43,0.23
24/12/2023 11:00,53,46.7,0,0.43,0.23
24/12/2023 10:00,53,45.8,0,0.43,0.23
24/12/2023 09:00,53,44.8,0,0.43,0.23
24/12/2023 08:00,53,43.9,0,0.43,0.23
24/12/2023 07:00,53,44.4,0,0.43,0.23
24/12/2023 06:00,53,45.1,0,0.43,0.23
24/12/2023 05:00,53,45.7,0,0.43,0.23
24/12/2023 04:00,53,46.3,0,0.43,0.23
24/12/2023 03:00,53,46.1,0,0.43,0.23
24/12/2023 02:00,53,44.8,0,0.43,0.23
24/12/2023 01:00,53,43.4,0,0.43,0.23
24/12/2023 00:00,53,42.1,0,0.43,0.23
23/12/2023 23:00,53,40.8,0,0.43,0.23
23/12/2023 22:00,53,39.4,0,0.43,0.23
23/12/2023 21:00,53,39.6,0,0.43,0.23
23/12/2023 20:00,53,40.9,0,0.43,0.23
23/12/2023 19:00,53,42,0,0.43,0.23
23/12/2023 18:00,53,43.1,0,0.43,0.23
23/12/2023 17:00,53,43.7,0,0.43,0.23
23/12/2023 16:00,53,43.1,0,0.43,0.23
23/12/2023 15:00,53,42.8,0,0.43,0.23
23/12/2023 14:00,53,43.3,0,0.43,0.23
23/12/2023 13:00,53,44.1,0,0.43,0.23
23/12/2023 12:00,53,45.2,0,0.43,0.23
23/12/2023 11:00,53,46.5,0,0.43,0.23
23/12/2023 10:00,53,47.2,0,0.43,0.23
23/12/2023 09:00,53,46.3,0,0.43,0.23
23/12/2023 08:00,53,45.3,0,0.43,0.23
23/12/2023 07:00,53,44.4,0,0.43,0.23
23/12/2023 06:00,53,43.9,0,0.43,0.23
23/12/2023 05:00,53,45.5,0,0.43,0.23
23/12/2023 04:00,53,47.2,0,0.43,0.23
23/12/2023 03:00,53,48.8,0,0.43,0.23
23/12/2023 02:00,53,50.2,0,0.43,0.23
23/12/2023 01:00,53,50.3,0,0.43,0.23
23/12/2023 00:00,53,50.4,0,0.43,0.23
22/12/2023 23:00,53,50.5,0,0.43,0.23
22/12/2023 22:00,52,50.6,0,0.43,0.23
22/12/2023 21:00,52,50.7,0,0.43,0.23
22/12/2023 20:00,52,50.8,0,0.43,0.23
22/12/2023 19:00,52,50.9,0,0.43,0.23
22/12/2023 18:00,52,50.5,0,0.43,0.23
22/12/2023 17:00,52,49.7,0,0.43,0.23
22/12/2023 16:00,52,49.3,0,0.43,0.23
22/12/2023 15:00,52,49.2,0,0.43,0.23
22/12/2023 14:00,52,49.1,0,0.43,0.23
22/12/2023 13:00,52,49.1,0,0.43,0.23
22/12/2023 12:00,52,49.1,0,0.43,0.27
22/12/2023 11:00,52,49.1,0,0.43,0.27
22/12/2023 10:00,52,50.9,0,0.43,0.27
22/12/2023 09:00,52,46.6,0,0.43,0.27
22/12/2023 08:00,52,43.8,0,0.43,0.27
22/12/2023 07:00,52,41.8,0,0.43,0.27
22/12/2023 06:00,52,36.6,0,0.43,0.27
22/12/2023 05:00,52,46.1,0,0.43,0.27
22/12/2023 04:00,52,48,0,0.43,0.27
22/12/2023 03:00,52,48.1,0,0.43,0.27
22/12/2023 02:00,52,48.2,0,0.43,0.27
22/12/2023 01:00,52,48.3,0,0.43,0.27
22/12/2023 00:00,52,52.4,2.6,0.43,0.27
21/12/2023 23:00,52,56.9,3,0.43,0.27
21/12/2023 22:00,52,62.6,2.9,0.43,0.27
21/12/2023 21:00,52,60.9,0,0.43,0.27
21/12/2023 20:00,52,61.2,0,0.43,0.27
21/12/2023 19:00,52,61.5,0,0.43,0.27
21/12/2023 18:00,52,61.9,3,0.43,0.27
21/12/2023 17:00,52,62.2,0,0.43,0.27
21/12/2023 16:00,52,61.7,2.9,0.43,0.27
21/12/2023 15:00,50,57,3,0.43,0.27
21/12/2023 14:00,50,53.6,2.9,0.43,0.27
21/12/2023 13:00,50,50.2,0,0.43,0.41
21/12/2023 12:00,50,44.1,0,0.43,0.41
21/12/2023 11:00,50,46.6,0,0.43,0.41
21/12/2023 10:00,50,46.6,0,0.43,0.41
21/12/2023 09:00,50,46.6,0,0.43,0.41
21/12/2023 08:00,50,46.6,0,0.43,0.41
21/12/2023 07:00,50,46.7,0,0.43,0.41
21/12/2023 06:00,50,46.7,0,0.43,0.41
21/12/2023 05:00,50,47.4,0,0.43,0.41
21/12/2023 04:00,50,48.3,0,0.43,0.41
21/12/2023 03:00,50,48.9,0.5,0.43,0.41
21/12/2023 02:00,50,49.4,0,0.43,0.41
21/12/2023 01:00,50,48.1,0,0.43,0.41
21/12/2023 00:00,50,46.3,0,0.43,0.41
20/12/2023 23:00,50,45.8,0,0.43,0.41
20/12/2023 22:00,50,53.5,3.2,0.43,0.41
