Time stamp,x,y,Cl,SO4_m,SO4_s
05/06/2024 16:59:39,No Data,No Data,41264.0,0.51,0.44
05/06/2024 15:59:39,56.6,28.1,42080.0,0.51,0.44
05/06/2024 14:59:39,56.6,28.1,42080.0,0.51,0.44
05/06/2024 13:59:39,56.6,28.1,42080.0,0.51,0.44
05/06/2024 12:59:39,56.6,28.1,42080.0,0.40,0.44
05/06/2024 11:59:39,56.6,28.1,42080.0,0.40,0.44
05/06/2024 10:59:39,56.6,28.1,42854.0,0.40,0.42
05/06/2024 09:59:39,56.6,28.1,38318.0,0.40,0.42
05/06/2024 08:59:39,56.6,28.1,38318.0,0.40,0.42
05/06/2024 07:59:39,56.6,28.1,38318.0,0.40,0.42
05/06/2024 06:59:39,56.6,28.1,38318.0,0.40,0.42
05/06/2024 05:59:39,56.6,28.1,38318.0,0.40,0.42
05/06/2024 04:59:39,56.6,28.1,38318.0,0.40,0.42
05/06/2024 03:59:39,56.6,28.1,38318.0,0.40,0.42
05/06/2024 02:59:39,56.1,27.9,38279.0,0.40,0.42
05/06/2024 01:59:39,56.1,27.9,38279.0,0.40,0.42
05/06/2024 00:59:39,56.1,27.9,38279.0,0.40,0.42
04/06/2024 23:59:39,56.1,27.9,38279.0,0.40,0.42
04/06/2024 22:59:39,56.2,29.4,36415.0,0.40,0.42
04/06/2024 21:59:39,56.2,29.4,36415.0,0.40,0.42
04/06/2024 20:59:39,56.2,29.4,36415.0,0.40,0.42
04/06/2024 19:59:39,56.2,29.4,36415.0,0.40,0.42
04/06/2024 18:59:39,56.8,28.7,35944.0,0.40,0.42
04/06/2024 17:59:39,56.8,28.7,35944.0,0.40,0.42
04/06/2024 16:59:39,56.8,28.7,35944.0,0.40,0.42
04/06/2024 15:59:39,56.8,28.7,35944.0,0.40,0.42
04/06/2024 14:59:39,56.6,28.4,36000.0,0.40,0.42
04/06/2024 13:59:39,56.6,28.4,36000.0,0.40,0.42
04/06/2024 12:59:39,56.6,28.4,36000.0,0.49,0.42
04/06/2024 11:59:39,56.6,28.4,36000.0,0.49,0.42
04/06/2024 10:59:39,57.0,27.8,36014.0,0.49,0.49
04/06/2024 09:59:39,57.0,27.8,36014.0,0.49,0.49
04/06/2024 08:59:39,57.0,27.8,36014.0,0.49,0.49
04/06/2024 07:59:39,57.0,27.8,36280.0,0.49,0.49
04/06/2024 06:59:39,57.0,27.8,36280.0,0.49,0.49
04/06/2024 05:59:39,57.0,27.8,36280.0,0.49,0.49
04/06/2024 04:59:39,57.0,27.8,36280.0,0.49,0.49
04/06/2024 03:59:39,57.0,27.8,36280.0,0.49,0.49
04/06/2024 02:59:39,58.5,26.9,36325.0,0.49,0.49
04/06/2024 01:59:39,58.5,26.9,36325.0,0.49,0.49
04/06/2024 00:59:39,58.5,26.9,36325.0,0.49,0.49
03/06/2024 23:59:39,58.5,26.9,36754.0,0.49,0.49
03/06/2024 22:59:39,58.5,26.9,36754.0,0.49,0.49
03/06/2024 21:59:39,58.5,26.9,36754.0,0.49,0.49
03/06/2024 20:59:39,58.5,26.9,36754.0,0.49,0.49
03/06/2024 19:59:39,58.5,26.9,36754.0,0.49,0.49
03/06/2024 18:59:39,58.5,26.9,36754.0,0.49,0.49
03/06/2024 17:59:39,58.5,26.9,36754.0,0.49,0.49
03/06/2024 16:59:39,58.5,26.9,36754.0,0.49,0.49
03/06/2024 15:59:39,64.2,28.3,37102.0,0.49,0.49
03/06/2024 14:59:39,64.2,28.3,37102.0,0.49,0.49
03/06/2024 13:59:39,64.2,28.3,37102.0,0.49,0.49
03/06/2024 12:59:39,64.2,28.3,37102.0,0.55,0.49
03/06/2024 11:59:39,64.2,28.3,37102.0,0.55,0.49
03/06/2024 10:59:39,58.1,29.1,37749.0,0.55,0.38
03/06/2024 09:59:39,58.1,29.1,37749.0,0.55,0.38
