ts,P2O5,SO4,density,Cl,x,y,SO4_m,SO4_s,average,R(K),R(SO4)
05/06/2024 23:44,14.7,4.35,1.279,40658,,,0.508,0.44,0.4085,59.58483809,29.39457406
05/06/2024 19:34,15.15,4.05,1.284,41264,59.5,30.3,0.508,0.44,0.4085,59.575786,30.30169242
05/06/2024 16:24,15,4.15,1.278,42080,59.1,28.3,0.508,0.44,0.4085,59.27003471,28.27016664
04/06/2024 23:44,15,4.25,1.29,36415,56.1,27.9,0.395,0.423,0.44575,56.19743013,27.87552712
04/06/2024 19:44,15.2,4.15,1.29,35944,56.2,29.4,0.395,0.423,0.44575,56.4716278,29.39457406
04/06/2024 15:44,15.3,4.1,1.289,36000,56.8,28.7,0.395,0.423,0.44575,56.34248156,28.70014124
04/06/2024 11:34,15.6,4.15,1.288,36014,56.6,28.4,0.492,0.423,0.44575,57.79642827,28.3861531
04/06/2024 03:44,15.25,4.1,1.169,36325,57,27.8,0.492,0.494,0.43325,58.30354862,27.75605942
03/06/2024 16:14,15.3,4.05,1.285,37102,58.5,26.9,0.492,0.494,0.43325,58.47564995,26.87203564
03/06/2024 11:44,15.3,4.25,1.266,37749,64.2,28.3,0.554,0.379,0.43325,60.98019663,28.27016664
03/06/2024 08:24,15.85,4.1,1.284,36310,58.1,29.1,0.554,0.379,0.43325,58.24441407,29.12223134
03/06/2024 04:04,15.85,4,1.283,36259,57.8,27.7,0.554,0.379,0.5085,57.99894842,27.73701763
02/06/2024 19:34,15.3,4.45,1.283,37459,57.7,27.4,0.554,0.379,0.5085,58.55740576,27.37085582
02/06/2024 08:34,15.35,4.76,1.289,38741,57.1,30.9,0.366,0.354,0.5085,57.21684693,30.91976151
02/06/2024 03:44,15.54,4.86,1.288,39013,57.5,31,0.366,0.354,0.4195,57.54341056,31.05679103
02/06/2024 00:24,15.5,4.76,1.288,37885,56.9,31.8,0.366,0.354,0.4195,57.69373017,31.81038774
01/06/2024 19:54,15.8,4.1,1.287,36259,57.6,31.4,0.366,0.354,0.4195,58.35339893,31.44515985
01/06/2024 07:54,16.43,4.05,1.294,35132,55.2,27.2,0.354,0.339,0.357,55.23728354,27.24481965
31/05/2024 23:34,16.3,4.15,1.287,34616,56.8,27.1,0.354,0.339,0.357,57.03783426,27.1184043
31/05/2024 20:04,16.15,4.1,1.286,34616,57.5,27.4,0.354,0.339,0.357,57.4868634,27.40598811
31/05/2024 16:24,16.2,4,1.285,32055,57.9,27.1,0.354,0.339,0.357,57.80967165,27.11690731
31/05/2024 08:04,16.05,3.94,1.279,31702,59.4,26.8,0.34,0.309,0.357,59.5157835,26.81268882
31/05/2024 04:04,15.85,3.85,1.276,31687,60.3,26.8,0.34,0.309,0.3465,60.38203829,26.82225248
30/05/2024 23:34,15.8,3.74,1.276,31832,60.3,26.4,0.34,0.309,0.3465,60.52737748,26.43233573
30/05/2024 20:04,16.08,4.05,1.275,31014,61.1,25.9,0.34,0.309,0.3465,60.23175621,25.89674072
30/05/2024 15:44,16.08,3.95,1.27,29986,62.7,27.2,0.34,0.309,0.3465,61.99391794,27.19226077
30/05/2024 12:04,15.8,3.85,1.267,29543,63.6,26.7,0.305,0.337,0.3465,63.0301805,26.72454046
30/05/2024 08:24,15.78,4.05,1.264,30899,64.4,26.6,0.305,0.337,0.3465,64.27997787,26.66751217
30/05/2024 03:34,15.74,3.74,1.263,30899,65.3,27.7,0.305,0.337,0.3245,64.66677907,27.74641772
29/05/2024 20:24,15.5,4.5,1.262,29321,65.5,30.6,0.305,0.337,0.3245,66.15158919,30.54102909
29/05/2024 16:04,15.64,4.45,1.257,29182,66.9,29.9,0.305,0.337,0.3245,67.3935704,29.98817368
29/05/2024 09:04,15.6,4.25,1.254,29866,67.7,29.9,0.365,0.348,0.3245,68.00665334,29.94360991
28/05/2024 23:44,15.6,4.25,1.258,29581,66.2,28.9,0.365,0.348,,66.53769677,28.90283977
28/05/2024 19:44,15.2,4.05,1.258,29100,66.6,28.9,0.365,0.348,,66.47987584,28.85488884
28/05/2024 17:04,15.5,3.95,1.257,29032,66.5,28.2,0.365,0.348,,66.69649075,28.20361924
28/05/2024 04:14,15,3.85,1.262,28795,63.8,27.9,0.331,0.331,0.3565,64.18204932,27.76595218
28/05/2024 00:04,15.5,4.05,1.268,30598,63.8,27.9,0.331,0.331,0.3565,62.73961551,27.38566348
