ts,Flow_421,P2O5_421,SO4_421,Flow_426,Den_426,P2O5_426,SO4_426,Cl_426,Flow_449,Den_449,Den_449_avg,P2O5_449,SO4_449,Cl_449,Flow_int,MKP_Yield_426_Avg,MKP_Yield_avg,SP,SO4_s,SO4_m
05/06/2024 12:56:55,79.9,8.9,1.366,31.493,1.386,22.6,3.539999962,13295,22.119,1.286,1.287,15,4.15,42080,709.0860596,61.969,62.878,55,0.51,0.44
05/06/2024 12:54:31,79.9,8.9,1.366,31.497,1.386,22.6,3.54,13295,22.12,1.286,1.287,15,4.15,42080,701.17,61.969,62.878,55,0.51,0.44
05/06/2024 12:52:07,80,8.9,1.366,31.508,1.386,22.6,3.54,13295,22.181,1.287,1.287,15,4.15,42080,695.249,61.969,62.878,55,0.40,0.44
05/06/2024 12:49:43,80.1,8.9,1.366,31.519,1.386,22.6,3.54,13295,15.527,1.287,1.287,15,4.15,42080,695.528,61.969,62.873,55,0.40,0.44
05/06/2024 12:47:19,79.9,8.9,1.366,31.531,1.386,22.6,3.54,13295,15.608,1.287,1.287,15,4.15,42080,704.64,61.958,62.861,55,0.40,0.44
05/06/2024 12:44:55,79.9,8.9,1.366,31.542,1.386,22.6,3.54,13295,19.674,1.287,1.287,15,4.15,42080,702.749,61.943,62.85,55,0.40,0.44
05/06/2024 12:42:31,80,8.9,1.366,31.553,1.386,22.6,3.54,13295,22.692,1.287,1.287,15,4.15,42080,696.06,61.928,62.839,55,0.40,0.44
05/06/2024 12:40:07,80,8.9,1.366,31.564,1.386,22.6,3.54,13295,22.59,1.287,1.287,15,4.15,42080,706.879,61.913,62.828,55,0.40,0.44
05/06/2024 12:37:43,80.1,8.9,1.366,31.575,1.386,22.6,3.54,13295,22.655,1.287,1.287,15,4.15,42080,699.737,61.898,62.817,55,0.40,0.44
05/06/2024 12:35:19,80,8.9,1.366,31.587,1.386,22.6,3.54,13295,22.716,1.287,1.287,15,4.15,42080,702.949,61.883,62.806,55,0.40,0.44
05/06/2024 12:32:55,79.8,8.9,1.366,31.598,1.386,22.6,3.54,13295,22.619,1.287,1.287,15,4.15,42080,696.043,61.869,62.794,55,0.40,0.44
05/06/2024 12:30:31,79.8,8.9,1.366,31.609,1.386,22.6,3.54,13295,22.681,1.287,1.287,15,4.15,42080,693.877,61.854,62.783,55,0.40,0.44
05/06/2024 12:28:07,79.9,8.9,1.366,31.62,1.386,22.6,3.54,13295,22.655,1.287,1.287,15,4.15,42080,686.22,61.839,62.772,55,0.40,0.44
05/06/2024 12:25:43,80,8.9,1.366,31.631,1.386,22.6,3.54,13295,22.703,1.287,1.287,15,4.15,42080,644.81,61.824,62.654,55,0.40,0.44
05/06/2024 12:23:19,80.3,8.9,1.366,31.642,1.386,22.6,3.54,13295,22.369,1.287,1.287,15,4.15,42080,572.946,61.6,62.357,55,0.40,0.44
05/06/2024 12:20:55,80.2,8.9,1.366,31.654,1.386,22.6,3.54,13295,16.402,1.287,1.287,15,4.15,42080,341.68,61.283,62.06,55,0.40,0.44
05/06/2024 12:18:31,79.9,8.9,1.366,31.665,1.386,22.6,3.54,13295,16.573,1.287,1.287,15,4.15,42080,274.825,60.967,61.763,55,0.40,0.44
05/06/2024 12:16:07,79.7,8.9,1.366,31.676,1.386,22.6,3.54,13295,21.755,1.287,1.287,15,4.15,42080,496.973,60.651,61.466,55,0.40,0.44
05/06/2024 12:13:43,79.9,8.9,1.366,31.687,1.386,22.6,3.54,13295,0,1.287,1.287,15,4.15,42080,705.302,60.335,61.169,55,0.40,0.44
05/06/2024 12:11:19,80.1,8.9,1.366,31.698,1.386,22.6,3.54,13295,0,1.287,1.287,15,4.15,42080,701.451,60.018,60.872,55,0.40,0.44
05/06/2024 12:08:55,79.8,8.9,1.366,31.71,1.386,22.6,3.54,13295,0,1.287,1.287,15,4.15,42080,709.605,59.702,60.575,55,0.40,0.44
05/06/2024 12:06:31,80,8.9,1.366,31.721,1.386,22.6,3.54,13295,0,1.287,1.287,15,4.15,42080,736.11,59.386,60.277,55,0.40,0.44
05/06/2024 12:04:07,79.9,8.9,1.366,31.732,1.386,22.6,3.54,13295,0,1.287,1.287,15,4.15,42080,748.357,59.07,59.98,55,0.40,0.44
05/06/2024 12:01:43,80,8.9,1.316,31.743,1.386,22.6,3.44,13295,0,1.287,1.287,15,4.25,42080,746.808,58.753,59.683,55,0.40,0.44
05/06/2024 11:59:19,80,8.9,1.316,31.754,1.385,22.6,3.44,13295,0,1.288,1.287,15,4.25,42080,747.501,58.437,59.386,55,0.40,0.44
05/06/2024 11:56:55,80.1,8.9,1.316,31.766,1.385,22.6,3.44,13295,0,1.288,1.286,15,4.25,42080,743.303,58.121,59.089,55,0.40,0.44
05/06/2024 11:54:31,79.9,8.9,1.316,31.777,1.385,22.6,3.44,13295,0,1.288,1.286,15,4.25,42080,749.032,57.805,58.792,55,0.40,0.44
05/06/2024 11:52:07,80,8.9,1.316,31.788,1.385,21.7,3.44,13126,0,1.288,1.286,15,4.25,42854,750.884,57.488,58.495,55,0.40,0.44
05/06/2024 11:49:43,80,8.9,1.316,31.799,1.385,21.7,3.44,13126,0,1.288,1.286,15,4.25,42854,747.309,57.172,58.198,55,0.40,0.42
05/06/2024 11:47:19,80.1,8.9,1.316,31.81,1.385,21.7,3.44,13126,0,1.288,1.286,15,4.25,42854,749.126,56.856,57.901,55,0.40,0.42
05/06/2024 11:44:55,79.8,8.9,1.316,31.822,1.385,21.7,3.44,13126,0,1.288,1.286,15,4.25,42854,748.815,56.54,57.604,55,0.40,0.42
05/06/2024 11:42:31,79.8,9,1.316,31.833,1.385,21.7,3.44,13126,0,1.288,1.286,15,4.25,42854,750.882,56.223,57.307,55,0.40,0.42
05/06/2024 11:40:07,79.9,9,1.316,31.844,1.385,21.7,3.44,13126,0,1.288,1.287,15,4.25,42854,752.86,56.083,57.071,55,0.40,0.42
05/06/2024 11:37:43,80,9,1.316,31.855,1.385,21.7,3.44,13126,0,1.288,1.287,15,4.25,42854,754.183,56.072,57.031,55,0.40,0.42
05/06/2024 11:35:19,80.1,9,1.316,31.866,1.385,21.7,3.44,13126,0,1.288,1.287,15,4.25,42854,752.835,56.062,56.99,55,0.40,0.42
05/06/2024 11:32:55,80.2,9,1.316,31.877,1.385,21.7,3.44,13126,14.443,1.287,1.287,15,4.25,42854,753.686,56.052,56.95,55,0.40,0.42
05/06/2024 11:30:31,79.8,9,1.316,31.889,1.385,21.7,3.44,13126,14.442,1.287,1.287,15,4.25,42854,758.642,56.042,56.91,55,0.40,0.42
05/06/2024 11:28:07,79.9,9,1.316,31.9,1.385,21.7,3.44,13126,20.165,1.287,1.287,15,4.25,42854,790.601,56.032,56.87,55,0.40,0.42
05/06/2024 11:25:43,79.9,9,1.316,31.911,1.385,21.7,3.44,13126,22.924,1.287,1.288,15,4.25,42854,798.596,56.022,56.83,55,0.40,0.42
05/06/2024 11:23:19,80.2,9,1.316,31.922,1.385,21.7,3.44,13126,22.81,1.287,1.288,15,4.25,42854,801.457,56.012,56.79,55,0.40,0.42
05/06/2024 11:20:55,80.2,9,1.316,31.933,1.385,21.7,3.44,13126,22.425,1.287,1.288,15,4.25,42854,798.708,56.002,56.75,55,0.40,0.42
05/06/2024 11:18:31,79.7,9,1.316,31.945,1.385,21.7,3.44,13126,22.948,1.287,1.288,15,4.25,42854,797.94,55.992,56.71,55,0.40,0.42
05/06/2024 11:16:07,79.8,9,1.316,31.956,1.385,21.7,3.44,13126,22.599,1.287,1.288,15,4.25,42854,797.828,55.982,56.67,55,0.40,0.42
05/06/2024 11:13:43,80,9,1.316,31.967,1.385,21.7,3.44,13126,21.648,1.287,1.288,15,4.25,42854,804.844,55.971,56.63,55,0.40,0.42
05/06/2024 11:11:19,80.1,9,1.316,31.978,1.385,21.7,3.44,13126,21.065,1.287,1.287,15,4.25,42854,801.094,55.961,56.589,55,0.40,0.42
05/06/2024 11:08:55,80.2,9,1.316,31.989,1.385,21.7,3.44,13126,19.915,1.287,1.287,15,4.25,42854,826.011,55.951,56.549,55,0.40,0.42
05/06/2024 11:06:31,79.8,9,1.316,32.001,1.384,21.7,3.44,13126,19.744,1.287,1.287,15,4.25,42854,882.474,55.941,56.509,55,0.40,0.42
05/06/2024 11:04:07,80,9,1.316,32.012,1.384,21.7,3.44,13126,19.961,1.287,1.287,15,4.25,42854,1001.153,55.931,56.469,55,0.40,0.42
05/06/2024 11:01:43,79.8,9,1.316,32.023,1.384,21.7,3.44,13126,17.196,1.287,1.287,15,4.25,42854,1001.905,55.921,56.429,55,0.40,0.42
05/06/2024 10:59:19,79.9,9,1.316,32.034,1.384,21.7,3.44,13126,16.085,1.287,1.287,15,4.25,42854,998.869,55.911,56.389,55,0.40,0.42
05/06/2024 10:56:55,80.1,9,1.316,32.045,1.384,21.7,3.44,13126,21.111,1.287,1.287,15,4.25,42854,1003.234,55.901,56.349,55,0.40,0.42
05/06/2024 10:54:31,79.9,9,1.316,32.057,1.384,21.7,3.44,13126,23.311,1.287,1.287,15,4.25,42854,999.925,55.891,56.309,55,0.40,0.42
05/06/2024 10:52:07,80,9,1.316,32.068,1.384,21.7,3.44,13126,23.005,1.287,1.287,15,4.25,42854,1004.674,55.881,56.269,55,0.40,0.42
05/06/2024 10:49:43,80.1,9,1.316,32.079,1.384,21.7,3.44,13126,23.526,1.287,1.284,15,4.25,42854,1003.997,55.871,56.229,55,0.40,0.42
05/06/2024 10:47:19,80,9,1.316,32.09,1.384,21.7,3.44,13126,23.489,1.287,1.284,15,4.25,42854,1005.714,55.86,56.188,55,0.40,0.42
05/06/2024 10:44:55,79.9,9,1.316,32.101,1.384,21.7,3.44,13126,23.197,1.287,1.284,15,4.25,42854,1005.221,55.85,56.148,55,0.40,0.42
05/06/2024 10:42:31,79.9,9,1.316,32.113,1.384,21.7,3.44,13126,23.013,1.287,1.284,15,4.25,42854,1003.677,55.84,56.108,55,0.40,0.42
05/06/2024 10:40:07,80.1,9,1.316,32.124,1.384,21.7,3.44,13126,23.384,1.287,1.283,15,4.25,42854,1002.232,55.83,56.068,55,0.40,0.42
05/06/2024 10:37:43,79.9,9,1.316,32.135,1.384,21.7,3.44,13126,23.433,1.287,1.28,15,4.25,42854,1011.534,55.82,56.028,55,0.40,0.42
05/06/2024 10:35:19,80.1,9,1.366,32.146,1.384,21.7,3.74,13126,23.257,1.287,1.281,15,4.048,42854,1004.911,55.81,55.988,55,0.40,0.42
05/06/2024 10:32:55,80,9,1.366,32.157,1.384,21.7,3.74,13126,23.475,1.287,1.281,15,4.048,42854,1000.144,55.8,55.948,55,0.40,0.42
05/06/2024 10:30:31,79.9,9,1.366,32.168,1.384,21.7,3.74,13126,23.631,1.287,1.281,15,4.048,42854,1003.976,55.79,55.908,55,0.40,0.42
05/06/2024 10:28:07,80,9,1.366,32.18,1.384,21.7,3.74,13126,23.577,1.287,1.281,15,4.048,42854,1002.042,55.78,55.868,55,0.40,0.42
05/06/2024 10:25:43,80.1,9,1.366,32.191,1.384,21.7,3.74,13126,17.411,1.262,1.281,15,4.048,42854,1006.047,55.77,55.828,55,0.40,0.42
05/06/2024 10:23:19,80.1,9,1.366,32.202,1.384,21.7,3.74,13126,17.399,1.17,1.281,15,4.048,42854,997.714,55.76,55.788,55,0.40,0.42
05/06/2024 10:20:55,79.9,9,1.366,32.213,1.384,21.7,3.74,13126,12.647,1.078,1.281,15,4.048,42854,1009.638,55.749,55.747,55,0.40,0.42
05/06/2024 10:18:31,79.9,8.6,1.366,32.224,1.384,21.3,3.74,11301,18.755,1.168,1.282,15,4.048,38318,998.771,55.739,55.707,55,0.40,0.42
05/06/2024 10:16:07,79.9,8.6,1.366,32.236,1.383,21.3,3.74,11301,17.907,1.289,1.284,15,4.048,38318,1001.856,55.729,55.667,55,0.40,0.42
05/06/2024 10:13:43,79.8,8.6,1.366,32.247,1.383,21.3,3.74,11301,17.854,1.288,1.284,15,4.048,38318,1007.143,55.719,55.627,55,0.40,0.42
05/06/2024 10:11:19,79.8,8.6,1.366,32.258,1.383,21.3,3.74,11301,17.746,1.287,1.284,15,4.048,38318,1009.027,55.709,55.587,55,0.40,0.42
05/06/2024 10:08:55,79.9,8.6,1.366,32.269,1.383,21.3,3.74,11301,21.301,1.287,1.284,15,4.048,38318,1009.239,55.699,55.547,55,0.40,0.42
05/06/2024 10:06:31,80,8.6,1.366,32.28,1.383,21.3,3.74,11301,21.621,1.287,1.284,15,4.048,38318,1009.54,55.689,55.507,55,0.40,0.42
05/06/2024 10:04:07,80.5,8.6,1.366,32.292,1.383,21.3,3.74,11301,23.324,1.094,1.285,15,4.048,38318,997.527,55.679,55.467,55,0.40,0.42
05/06/2024 10:01:43,82.3,8.6,1.366,32.303,1.383,21.3,3.74,11301,24.841,1.15,1.287,15,4.048,38318,991.932,55.669,55.427,55,0.40,0.42
05/06/2024 09:59:19,83.2,8.6,1.366,32.314,1.383,21.3,3.74,11301,24.857,1.26,1.288,15,4.048,38318,983.175,55.659,55.387,55,0.40,0.42
05/06/2024 09:56:55,83.8,8.6,1.366,32.325,1.383,21.3,3.74,11301,23.682,1.289,1.288,15,4.048,38318,981.231,55.648,55.346,55,0.40,0.42
05/06/2024 09:54:31,83.8,8.6,1.366,32.336,1.383,21.3,3.74,11301,23.607,1.289,1.288,15,4.048,38318,895.366,55.638,55.306,55,0.40,0.42
05/06/2024 09:52:07,83.8,8.6,1.366,32.348,1.383,21.3,3.74,11301,23.27,1.289,1.288,15,4.048,38318,592.256,55.628,55.266,55,0.40,0.42
05/06/2024 09:49:43,83.2,8.6,1.366,32.359,1.383,21.3,3.74,11301,17.289,1.289,1.288,15,4.048,38318,1107.395,55.618,55.226,55,0.40,0.42
05/06/2024 09:47:19,83.4,8.6,1.366,31.542,1.383,21.3,3.74,11301,17.289,1.289,1.288,15,4.048,38318,1541.552,55.608,55.186,55,0.40,0.42
05/06/2024 09:44:55,83.6,8.6,1.366,29.935,1.383,21.3,3.74,11301,17.206,1.288,1.288,15,4.048,38318,995.332,55.598,55.146,55,0.40,0.42
05/06/2024 09:42:31,83.4,8.6,1.366,28.329,1.383,21.3,3.74,11301,17.155,1.288,1.288,15,4.048,38318,1003.909,55.588,55.106,55,0.40,0.42
05/06/2024 09:40:07,39.9,8.6,1.366,29.943,1.383,21.3,3.74,11301,19.081,1.288,1.288,15,4.048,38318,990.856,55.578,55.066,55,0.40,0.42
05/06/2024 09:37:43,77.2,8.6,1.366,29.958,1.383,21.3,3.74,11301,19.262,1.288,1.288,15,4.048,38318,996.578,55.568,55.026,55,0.40,0.42
05/06/2024 09:35:19,77.5,8.6,1.366,29.974,1.383,21.3,3.74,11301,19.303,1.288,1.288,15,4.048,38318,993.004,55.558,54.986,55,0.40,0.42
05/06/2024 09:32:55,77.9,8.6,1.366,29.989,1.383,21.3,3.74,11301,18.806,1.288,1.288,15,4.048,38318,1000.308,55.548,54.946,55,0.40,0.42
05/06/2024 09:30:31,78,8.6,1.366,30.004,1.383,21.3,3.74,11301,14.627,1.288,1.287,15,4.048,38318,1003.575,55.537,54.905,55,0.40,0.42
05/06/2024 09:28:07,78.3,8.6,1.366,30.019,1.383,21.3,3.74,11301,14.471,1.288,1.287,15,4.048,38318,1003.1,55.527,54.865,55,0.40,0.42
05/06/2024 09:25:43,78.3,8.6,1.366,30.035,1.383,21.3,3.74,11301,14.453,1.288,1.287,15,4.048,38318,1002.074,55.517,54.825,55,0.40,0.42
05/06/2024 09:23:19,78.4,8.6,1.366,30.05,1.382,21.3,3.74,11301,14.391,1.288,1.287,15,4.048,38318,1008.029,55.507,54.785,55,0.40,0.42
05/06/2024 09:20:55,78.6,8.6,1.366,30.065,1.382,21.3,3.74,11301,19.412,1.288,1.287,15,4.048,38318,1004.548,55.497,54.745,55,0.40,0.42
05/06/2024 09:18:31,78.9,8.6,1.366,30.081,1.382,21.3,3.74,11301,21.954,1.288,1.287,15,4.048,38318,1000.038,55.487,54.705,55,0.40,0.42
05/06/2024 09:16:07,79,8.6,1.366,30.096,1.382,21.3,3.74,11301,23.084,1.288,1.287,15,4.048,38318,1001.543,55.477,54.665,55,0.40,0.42
05/06/2024 09:13:43,79.1,8.6,1.366,30.111,1.382,21.3,3.74,11301,23.52,1.288,1.287,15,4.048,38318,998.834,55.467,54.625,55,0.40,0.42
05/06/2024 09:11:19,79,8.6,1.366,30.127,1.382,21.3,3.74,11301,17.921,1.288,1.285,15,4.048,38318,1003.526,55.457,54.585,55,0.40,0.42
05/06/2024 09:08:55,79.1,8.6,1.366,30.142,1.382,21.3,3.74,11301,17.22,1.287,1.285,15,4.048,38318,1003.63,55.447,54.545,55,0.40,0.42
05/06/2024 09:06:31,79,8.6,1.366,30.157,1.382,21.3,3.74,11301,17.188,1.287,1.285,15,4.048,38318,996.447,55.437,54.504,55,0.40,0.42
05/06/2024 09:04:07,79.1,8.6,1.366,30.173,1.382,21.3,3.74,11301,17.912,1.287,1.285,15,4.048,38318,1008.219,55.426,54.464,55,0.40,0.42
05/06/2024 09:01:43,79.2,8.6,1.366,30.188,1.382,21.3,3.74,11301,19.715,1.287,1.284,15,4.048,38318,999.101,55.416,54.424,55,0.40,0.42
05/06/2024 08:59:19,79.3,8.6,1.366,30.203,1.382,21.3,3.74,11301,22.221,1.287,1.284,15,4.048,38318,1007.142,55.406,54.384,55,0.40,0.42
05/06/2024 08:56:55,79.4,8.6,1.366,30.218,1.382,21.3,3.74,11301,22.662,1.287,1.284,15,4.048,38318,998.543,55.396,54.344,55,0.40,0.42
05/06/2024 08:54:31,79.4,8.6,1.366,30.234,1.382,21.3,3.74,11301,22.963,1.287,1.284,15,4.048,38318,1003.472,55.386,54.304,55,0.40,0.42
05/06/2024 08:52:07,79.4,8.6,1.366,30.249,1.382,21.3,3.74,11301,22.624,1.287,1.284,15,4.048,38318,1004.505,55.376,54.264,55,0.40,0.42
05/06/2024 08:49:43,79.5,8.6,1.366,30.264,1.382,21.3,3.74,11301,23.288,1.287,1.284,15,4.048,38318,1010.252,55.366,54.224,55,0.40,0.42
05/06/2024 08:47:19,79.5,8.6,1.366,30.28,1.382,21.3,3.74,11301,22.641,1.284,1.284,15,4.048,38318,1004.744,55.356,54.184,55,0.40,0.42
05/06/2024 08:44:55,79.4,8.6,1.366,30.295,1.382,21.3,3.74,11301,21.398,1.171,1.284,15,4.048,38318,1004.246,55.346,54.144,55,0.40,0.42
05/06/2024 08:42:31,79.6,8.6,1.366,30.31,1.382,21.3,3.74,11301,17.737,1.058,1.284,15,4.048,38318,1001.251,55.336,54.103,55,0.40,0.42
05/06/2024 08:40:07,79.5,8.6,1.366,30.326,1.382,21.3,3.74,11301,17.859,1.283,1.287,15,4.048,38318,989.538,55.326,54.063,55,0.40,0.42
05/06/2024 08:37:43,79.6,8.6,1.366,30.341,1.382,21.3,3.74,11301,17.501,1.288,1.287,15,4.048,38318,991.748,55.315,54.023,55,0.40,0.42
05/06/2024 08:35:19,79.6,8.6,1.366,30.356,1.382,21.3,3.74,11301,21.912,1.288,1.287,15,4.048,38318,972.463,55.305,53.983,58,0.40,0.42
05/06/2024 08:32:55,79.5,8.6,1.366,30.371,1.382,21.3,3.74,11301,21.863,1.288,1.287,15,4.048,38318,887.053,55.295,53.943,58,0.40,0.42
05/06/2024 08:30:31,79.7,8.6,1.366,30.387,1.382,21.3,3.74,11301,22.055,1.288,1.287,15,4.048,38318,885.004,55.285,53.903,58,0.40,0.42
05/06/2024 08:28:07,79.7,8.6,1.366,30.402,1.382,21.3,3.74,11301,22.169,1.287,1.287,15,4.048,38318,888.696,55.275,53.863,58,0.40,0.42
05/06/2024 08:25:43,79.7,8.6,1.366,30.417,1.382,21.3,3.74,11301,23.291,1.287,1.287,15,4.048,38318,875.698,55.265,53.823,58,0.40,0.42
05/06/2024 08:23:19,79.6,8.6,1.366,30.433,1.383,21.3,3.74,11301,23.292,1.287,1.287,15,4.048,38318,873.449,55.255,53.783,58,0.40,0.42
05/06/2024 08:20:55,79.5,8.6,1.366,30.448,1.383,21.3,3.74,11301,22.478,1.287,1.287,15,4.048,38318,880.144,55.245,53.743,58,0.40,0.42
05/06/2024 08:18:31,79.4,8.6,1.366,30.463,1.383,21.3,3.74,11301,12.609,1.287,1.287,15,4.048,38318,884.911,55.235,53.703,58,0.40,0.42
05/06/2024 08:16:07,79.1,8.6,1.366,30.479,1.383,21.3,3.74,11301,19.809,1.287,1.287,15,4.048,38318,878.79,55.225,53.662,58,0.40,0.42
05/06/2024 08:13:43,78,8.6,1.366,30.494,1.383,21.3,3.74,11301,19.858,1.287,1.287,15,4.048,38318,890.817,55.214,53.622,58,0.40,0.42
05/06/2024 08:11:19,77.9,8.6,1.366,30.509,1.383,21.3,3.74,11301,14.767,1.287,1.287,15,4.048,38318,881.976,55.204,53.582,58,0.40,0.42
05/06/2024 08:08:55,77.9,8.6,1.366,30.524,1.383,21.3,3.74,11301,15.739,1.287,1.287,15,4.048,38318,882.555,55.194,53.542,58,0.40,0.42
05/06/2024 08:06:31,77.9,8.6,1.366,30.54,1.383,21.3,3.74,11301,20.724,1.287,1.287,15,4.048,38318,886.791,55.184,53.502,58,0.40,0.42
05/06/2024 08:04:07,77.8,8.6,1.366,30.555,1.383,21.3,3.74,11301,21.665,1.287,1.287,15,4.048,38318,876.069,55.174,53.462,58,0.40,0.42
05/06/2024 08:01:43,77.8,8.6,1.366,30.57,1.383,21.3,3.74,11301,20.676,1.287,1.287,15,4.048,38318,875.377,55.164,53.422,58,0.40,0.42
05/06/2024 07:59:19,77.8,8.6,1.366,30.586,1.383,21.3,3.74,11301,14.034,1.287,1.287,15,4.048,38318,885.355,55.154,53.382,58,0.40,0.42
05/06/2024 07:56:55,77.8,8.6,1.366,30.601,1.383,21.3,3.74,11301,13.175,1.287,1.287,15,4.048,38318,872.88,55.144,53.342,58,0.40,0.42
05/06/2024 07:54:31,77.8,8.6,1.366,30.616,1.383,21.3,3.74,11301,15.814,1.287,1.287,15,4.048,38318,865.556,55.134,53.302,58,0.40,0.42
05/06/2024 07:52:07,77.9,8.6,1.366,30.632,1.383,21.3,3.74,11301,18.975,1.287,1.287,15,4.048,38318,837.756,55.124,53.261,58,0.40,0.42
