ts,P2O5,SO4,density,Cl
08/04/2024 08:24,16.35,4.4,1.296,29013
08/04/2024 08:14,16.35,4.4,1.135,29013
08/04/2024 08:04,16.35,4.4,1.297,29013
08/04/2024 07:54,16.35,4.4,1.296,29013
08/04/2024 07:44,16.35,4.4,1.264,29013
08/04/2024 07:34,16.35,4.4,1.028,29013
08/04/2024 07:24,16.35,4.4,1.296,29013
08/04/2024 07:14,16.35,4.4,1.295,29013
08/04/2024 07:04,16.35,4.4,1.122,29013
08/04/2024 06:54,16.35,4.4,1.296,29013
08/04/2024 06:44,16.35,4.4,1.297,29013
08/04/2024 06:34,16.35,4.4,1.297,29013
08/04/2024 06:24,16.3,4.4,1.157,29013
08/04/2024 06:14,16.3,4.4,1.295,29013
08/04/2024 06:04,16.3,4.4,1.296,29013
08/04/2024 05:54,16.3,4.4,1.296,29013
08/04/2024 05:44,16.3,4.4,1.296,29013
08/04/2024 05:34,16.3,4.4,1.296,29013
08/04/2024 05:24,16.3,4.4,1.296,29013
08/04/2024 05:14,16.3,4.4,1.296,29013
08/04/2024 05:04,16.3,4.4,1.296,29013
08/04/2024 04:54,16.3,4.4,1.296,29013
08/04/2024 04:44,16.3,4.4,1.296,29013
08/04/2024 04:34,16.3,4.4,1.296,29013
08/04/2024 04:24,16.3,4.4,1.296,29013
08/04/2024 04:14,16.3,4.4,1.296,29013
08/04/2024 04:04,16.3,4.4,1.296,29013
08/04/2024 03:54,16.3,4.4,1.296,29013
08/04/2024 03:44,16.3,4.4,1.296,29013
08/04/2024 03:34,16.2,4.3,1.296,28955
08/04/2024 03:24,16.2,4.3,1.296,28955
08/04/2024 03:14,16.2,4.3,1.297,28955
08/04/2024 03:04,16.2,4.3,1.029,28955
08/04/2024 02:54,16.2,4.3,1.297,28955
08/04/2024 02:44,16.2,4.3,1.297,28955
08/04/2024 02:34,16.2,4.3,1.297,28955
08/04/2024 02:24,16.2,4.3,1.297,28955
08/04/2024 02:14,16.2,4.3,1.296,28955
08/04/2024 02:04,16.2,4.3,1.296,28955
08/04/2024 01:54,16.2,4.3,1.296,28955
08/04/2024 01:44,16.2,4.3,1.296,28955
08/04/2024 01:34,16.5,4.3,1.131,28955
08/04/2024 01:24,16.5,4.3,1.296,28955
08/04/2024 01:14,16.5,4.3,1.297,28955
08/04/2024 01:04,16.5,4.3,1.297,28955
08/04/2024 00:54,16.5,4.3,1.297,28955
08/04/2024 00:44,16.5,4.3,1.079,28955
08/04/2024 00:34,16.5,4.3,1.152,28955
08/04/2024 00:24,16.5,4.3,1.299,28955
08/04/2024 00:14,16.5,4.3,1.299,28955
08/04/2024 00:04,16.5,4.3,1.298,28955
07/04/2024 23:54,16.5,4.3,1.297,28955
07/04/2024 23:44,16.5,4.3,1.297,28909
07/04/2024 23:34,16.5,4.3,1.297,28909
07/04/2024 23:24,16.5,4.3,1.297,28909
07/04/2024 23:14,16.5,4.3,1.298,28909
07/04/2024 23:04,16.5,4.3,1.298,28909
07/04/2024 22:54,16.5,4.3,1.298,28909
07/04/2024 22:44,16.5,4.3,1.298,28909
07/04/2024 22:34,16.5,4.3,1.298,28909
07/04/2024 22:24,16.5,4.3,1.298,28909
07/04/2024 22:14,16.5,4.3,1.299,28909
07/04/2024 22:04,16.5,4.3,1.3,28909
07/04/2024 21:54,16.5,4.3,1.3,28909
07/04/2024 21:44,16.5,4.3,1.3,28909
07/04/2024 21:34,16.5,4.3,1.3,28909
07/04/2024 21:24,16.5,4.3,1.299,28909
07/04/2024 21:14,16.5,4.3,1.299,28909
07/04/2024 21:04,16.5,4.3,1.299,28909
07/04/2024 20:54,16.5,4.3,1.299,28909
07/04/2024 20:44,16.5,4.3,1.299,28909
07/04/2024 20:34,16.5,4.3,1.298,28909
07/04/2024 20:24,16.5,4.3,1.298,28909
07/04/2024 20:14,16.5,4.3,1.298,28909
07/04/2024 20:04,16.5,4.3,1.298,28909
07/04/2024 19:54,16.5,4.3,1.297,28909
07/04/2024 19:44,16.5,4.3,1.297,28909
07/04/2024 19:34,16.36,4.15,1.297,28302
07/04/2024 19:24,16.36,4.15,1.296,28302
07/04/2024 19:14,16.36,4.15,1.133,28302
