Name,\\pi3\LRSILOMKPSNa2O
Data Type,Float 32
Number of Values,99
Time,Value,Value Attributes
2-Mar-2023 14:05:17,351
1-Mar-2023 13:42:57,199
28-Feb-2023 13:44:04,186
27-Feb-2023 13:39:07,198
26-Feb-2023 13:32:51,204
26-Feb-2023 13:13:55,211
24-Feb-2023 12:51:32,213
23-Feb-2023 13:55:20,148
22-Feb-2023 14:07:38,121
21-Feb-2023 14:42:38,199
21-Feb-2023 07:54:15,136
19-Feb-2023 14:29:01,129
19-Feb-2023 14:23:38,132
17-Feb-2023 13:42:06,240
16-Feb-2023 13:38:18,284
15-Feb-2023 13:52:48,351
13-Feb-2023 12:32:28,189
12-Feb-2023 13:21:39,259
12-Feb-2023 13:17:05,211
10-Feb-2023 12:35:22,233.31
9-Feb-2023 14:47:45,255.67
8-Feb-2023 14:05:11,133
7-Feb-2023 12:02:00,154.51
6-Feb-2023 13:57:23,146.35
5-Feb-2023 13:32:15,139.82
4-Feb-2023 13:08:04,162.72
3-Feb-2023 12:32:23,144.77
2-Feb-2023 13:34:48,191
1-Feb-2023 14:43:49,155
1-Feb-2023 14:35:20,232
31-Jan-2023 14:12:52,127
30-Jan-2023 14:21:29,82.17
29-Jan-2023 14:04:12,147
28-Jan-2023 12:33:56,178
27-Jan-2023 12:48:43,267
26-Jan-2023 12:09:31,768.35
25-Jan-2023 11:53:17,457.78
24-Jan-2023 12:54:10,136.64
23-Jan-2023 13:10:28,152.78
22-Jan-2023 14:12:14,69.619
22-Jan-2023 14:01:25,73.936
20-Jan-2023 13:17:32,182
19-Jan-2023 12:53:29,130
18-Jan-2023 13:08:37,174
17-Jan-2023 13:11:02,134
16-Jan-2023 09:14:39,130
15-Jan-2023 13:50:48,166
15-Jan-2023 13:45:00,178
13-Jan-2023 09:21:28,164
12-Jan-2023 14:20:10,125
11-Jan-2023 13:35:35,126
10-Jan-2023 13:15:49,114
9-Jan-2023 13:39:44,95.4
8-Jan-2023 11:33:34,109.06
8-Jan-2023 11:31:55,186.36
6-Jan-2023 13:21:17,305
5-Jan-2023 14:02:15,149
3-Jan-2023 11:51:00,189
2-Jan-2023 11:38:23,203
1-Jan-2023 14:25:24,200
1-Jan-2023 14:07:24,174
30-Dec-2022 12:17:01,282
29-Dec-2022 13:56:28,173
28-Dec-2022 13:47:39,145.18
27-Dec-2022 13:14:26,113
26-Dec-2022 11:34:07,141
25-Dec-2022 14:34:27,139
24-Dec-2022 13:14:44,169
23-Dec-2022 13:49:50,270
22-Dec-2022 12:04:14,152
21-Dec-2022 11:42:04,194
20-Dec-2022 12:13:34,136
19-Dec-2022 12:03:20,491
18-Dec-2022 11:57:58,104
18-Dec-2022 11:56:59,86
16-Dec-2022 10:15:02,123
15-Dec-2022 13:55:54,129
14-Dec-2022 13:34:16,88
13-Dec-2022 14:37:53,89.4
12-Dec-2022 13:19:10,127
11-Dec-2022 14:06:07,87
11-Dec-2022 13:58:12,109
9-Dec-2022 13:19:03,127
8-Dec-2022 14:29:54,146
7-Dec-2022 11:57:47,120
6-Dec-2022 13:31:40,134
5-Dec-2022 12:56:30,109
4-Dec-2022 12:45:51,86
4-Dec-2022 12:41:42,79
2-Dec-2022 11:05:00,58
1-Dec-2022 13:55:48,70
30-Nov-2022 11:18:42,88
29-Nov-2022 11:51:41,308
28-Nov-2022 11:39:09,105
27-Nov-2022 11:47:08,79
26-Nov-2022 11:01:03,73
25-Nov-2022 13:10:51,161
25-Nov-2022 13:07:16,114
24-Nov-2022 13:48:08,1200
