NaNO3,Na2SO4,H2O,,T,d,Phase,,,,,,,
37.7,0.12,62.18,100,-17.8,-,Ice+NaNO3+Na2SO4*10H2O,,,,,Ice+NaNO3+Na2SO4*10H2O,,
25,1.32,73.68,100,-10.6,-,Ice+Na2SO4*10H2O,,,,,Ice+Na2SO4*10H2O,,
39.2,0.56,60.24,100,-10.6,-,NaNO3+Na2SO4*10H2O,,,,,NaNO3+Na2SO4*10H2O,,
8.99,2.82,88.19,100,-4,-,Ice+Na2SO4*10H2O,,,,,Ice+Na2SO4*10H2O,,
40.7,0.82,58.48,100,-4,-,NaNO3+Na2SO4*10H2O,,,,,NaNO3+Na2SO4*10H2O,,
41.3,1.09,58.61,101,-1,-,NaNO3+Na2SO4*10H2O,,,,,,,
14.6,1.76,83.34,99.7,0,1.128,Na2SO4*10H2O,,,,,Na2SO4*10H2O,,
27.7,1.17,71.13,100,0,1.222,Na2SO4*10H2O,,,,,,,
35.3,1.15,63.55,100,0,1.298,Na2SO4*10H2O,,,,,,,
39.7,1.07,59.23,100,0,1.342,Na2SO4*10H2O,,,,,,,
41.2,1.07,57.73,100,0,1.355,Na2SO4*10H2O+NaNO3,,,,,Na2SO4*10H2O+NaNO3,,
41.6,0,58.4,100,0,1.352,NaNO3,,,,,NaNO3,,
41.9,2.12,55.98,100,6.5,-,NaNO3+Na2SO4*10H2O,,,,,NaNO3+Na2SO4*10H2O,,
41.8,5.08,55.12,102,10.2,1.382,NaNO3+Na2SO4*10H2O,,,,,,,
39.2,5.11,55.69,100,15,1.381,Na2SO4*10H2O,,,,,Na2SO4*10H2O,,
42,4.09,53.91,100,15,1.394,NaNO3+NaNO3*Na2SO4*H2O,,,,,NaNO3+NaNO3*Na2SO4*H2O,,
36.3,6.66,57.04,100,17.5,1.367,Na2SO4*10H2O+NaNO3*Na2SO4*H2O,,,,,Na2SO4*10H2O+NaNO3*Na2SO4*H2O,,
42.8,3.78,53.42,100,17.5,1.395,NaNO3+NaNO3*Na2SO4*H2O,,,,,NaNO3+NaNO3*Na2SO4*H2O,,
13.3,10.91,75.79,100,20,1.203,Na2SO4*10H2O,,,,,Na2SO4*10H2O,,
21.8,9.2,69,100,20,1.27,Na2SO4*10H2O,,,,,,,
30.5,8.9,60.6,100,20,1.335,Na2SO4*10H2O,,,,,,,
33.1,8.62,58.28,100,20,1.356,Na2SO4*10H2O,,,,,,,
34.1,8.09,57.81,100,20,-,NaNO3*Na2SO4*H2O,,,,,NaNO3*Na2SO4*H2O,,
36.3,6.73,56.97,100,20,1.366,NaNO3*Na2SO4*H2O,,,,,,,
41.2,4.56,54.24,100,20,-,NaNO3*Na2SO4*H2O,,,,,,,
42.7,3.85,53.45,100,20,-,NaNO3*Na2SO4*H2O,,,,,,,
43.6,3.46,52.94,100,20,1.397,NaNO3*Na2SO4*H2O+NaNO3,,,,,NaNO3*Na2SO4*H2O+NaNO3,,
44.8,2.27,52.93,100,20,-,NaNO3,,,,,NaNO3,,
26.3,13.9,59.8,100,24.3,1.348,NaNO3*Na2SO4*H2O+Na2SO4*10H2O+Na2SO4,,,,,NaNO3*Na2SO4*H2O+Na2SO4*10H2O+Na2SO4,,
12.6,16.5,70.9,100,25,1.256,Na2SO4*10H2O,,,,,Na2SO4*10H2O,,
21.2,14.8,64,100,25,1.315,Na2SO4*10H2O,,,,,,,
24.9,14.6,60.5,100,25,1.346,Na2SO4*10H2O+Na2SO4,,,,,Na2SO4*10H2O+Na2SO4,,
25.9,13.9,60.2,100,25,-,Na2SO4,,,,,Na2SO4,,
26.8,13.3,59.9,100,25,1.35,Na2SO4+NaNO3*Na2SO4*H2O,,,,,Na2SO4+NaNO3*Na2SO4*H2O,,
27.7,12.7,59.6,100,25,1.351,NaNO3*Na2SO4*H2O,,,,,NaNO3*Na2SO4*H2O,,
29.5,11.3,59.2,100,25,1.35,NaNO3*Na2SO4*H2O,,,,,,,
31.1,10.2,58.7,100,25,1.354,NaNO3*Na2SO4*H2O,,,,,,,
37.7,6.17,56.13,100,25,1.368,NaNO3*Na2SO4*H2O,,,,,,,
43.1,3.74,53.16,100,25,1.393,NaNO3*Na2SO4*H2O,,,,,,,
44.6,3.4,52,100,25,1.404,NaNO3*Na2SO4*H2O,,,,,,,
45.2,3.04,51.76,100,25,1.405,NaNO3*Na2SO4*H2O+NaNO3,,,,,NaNO3*Na2SO4*H2O+NaNO3,,
46.5,1.57,51.93,100,25,1.398,NaNO3,,,,,NaNO3,,
8.51,29.9,61.59,100,30,1.327,Na2SO4*10H2O+Na2SO4,,,,,Na2SO4*10H2O+Na2SO4,,
29.9,11.2,58.9,100,30,1.351,NaNO3*Na2SO4*H2O+Na2SO4,,,,,NaNO3*Na2SO4*H2O+Na2SO4,,
46.6,2.8,50.6,100,30,1.411,NaNO3*Na2SO4*H2O+NaNO3,,,,,NaNO3*Na2SO4*H2O+NaNO3,,
13.3,21.6,65.1,100,35,1.315,Na2SO4,,,,,Na2SO4,,
25.5,13.8,60.7,100,35,1.328,Na2SO4,,,,,,,
32.4,9.77,57.83,100,35,1.352,Na2SO4,,,,,,,
33.9,8.97,57.13,100,35,1.357,Na2SO4+NaNO3*Na2SO4*H2O,,,,,Na2SO4+NaNO3*Na2SO4*H2O,,
36.1,7.51,56.39,100,35,1.36,NaNO3*Na2SO4*H2O,,,,,NaNO3*Na2SO4*H2O,,
40.2,5.41,54.39,100,35,1.374,NaNO3*Na2SO4*H2O,,,,,,,
47.2,2.65,50.15,100,35,1.415,NaNO3*Na2SO4*H2O,,,,,,,
48,2.53,49.47,100,35,1.417,NaNO3*Na2SO4*H2O+NaNO3,,,,,NaNO3*Na2SO4*H2O+NaNO3,,
12.9,20.7,66.4,100,50,1.219,Na2SO4,,,,,Na2SO4,,
23.6,13.3,63.1,100,50,1.302,Na2SO4,,,,,,,
33.2,8.27,58.53,100,50,1.33,Na2SO4,,,,,,,
39.9,5.67,54.43,100,50,1.365,Na2SO4,,,,,,,
43.9,4.43,50.67,99,50,1.388,Na2SO4+NaNO3*Na2SO4*H2O,,,,,Na2SO4+NaNO3*Na2SO4*H2O,,
44.5,4.23,51.27,100,50,1.392,NaNO3*Na2SO4*H2O,,,,,NaNO3*Na2SO4*H2O,,
46.8,3.35,49.85,100,50,1.407,NaNO3*Na2SO4*H2O,,,,,,,
49.5,2.61,47.89,100,50,1.422,NaNO3*Na2SO4*H2O,,,,,,,
51.6,2.13,46.27,100,50,1.44,NaNO3*Na2SO4*H2O+NaNO3,,,,,NaNO3*Na2SO4*H2O+NaNO3,,
52.2,1.21,46.59,100,50,1.432,NaNO3,,,,,NaNO3,,
13.9,18.4,67.7,100,75,1.256,Na2SO4,,,,,Na2SO4,,
27.8,10.02,62.18,100,75,1.281,Na2SO4,,,,,,,
41.2,4.73,54.07,100,75,1.346,Na2SO4,,,,,,,
50.7,2.62,46.68,100,75,1.416,Na2SO4,,,,,,,
55.8,1.95,42.25,100,75,1.464,Na2SO4,,,,,,,
57.2,1.86,40.94,100,75,1.478,Na2SO4+NaNO3,,,,,Na2SO4+NaNO3,,
57.6,1.25,41.15,100,75,1.475,NaNO3,,,,,NaNO3,,
59,1.7,39.39,100.09,83,1.491,NaNO3+Na2SO4,,,,,NaNO3+Na2SO4,,
60.8,1.64,37.56,100,91,1.505,NaNO3+Na2SO4,,,,,,,
13.6,17.8,68.6,100,100,1.23,Na2SO4,,,,,Na2SO4,,
24.9,10.9,64.2,100,100,1.247,Na2SO4,,,,,,,
40.5,4.9,54.6,100,100,1.321,Na2SO4,,,,,,,
51.3,2.77,45.93,100,100,1.403,Na2SO4,,,,,,,
58.1,1.97,39.93,100,100,1.466,Na2SO4,,,,,,,
62.6,1.57,35.83,100,100,1.515,Na2SO4+NaNO3,,,,,Na2SO4+NaNO3,,
63.1,0.86,36.04,100,100,1.514,NaNO3,,,,,NaNO3,,
66.2,1.48,32.32,100,120.3,-,NaNO3+Na2SO4,,,,,NaNO3+Na2SO4,,
0,21.98,78.02,100,25,-,Na2SO4*10H2O,,,,,Na2SO4*10H2O,,
4.08,19.66,76.26,100,25,-,Na2SO4*10H2O,,,,,,,
10.88,15.95,73.17,100,25,-,Na2SO4*10H2O,,,,,,,
15.15,16.12,68.73,100,25,-,Na2SO4*10H2O,,,,,,,
17.55,15.55,66.9,100,25,-,Na2SO4*10H2O,,,,,,,
19.92,15.09,64.99,100,25,-,Na2SO4*10H2O,,,,,,,
22.14,14.93,62.93,100,25,-,Na2SO4*10H2O,,,,,,,
22.26,15.01,62.73,100,25,-,Na2SO4*10H2O+NaNO3*Na2SO4*H2O,,,,,Na2SO4*10H2O+NaNO3*Na2SO4*H2O,,
22.32,14.83,62.8,99.95,25,-,Na2SO4*10H2O+NaNO3*Na2SO4*H2O,,,,,,,
26.87,11.55,61.58,100,25,-,Na2SO4*10H2O+NaNO3*Na2SO4*H2O,,,,,,,
30.43,8.91,60.66,100,25,-,NaNO3*Na2SO4*H2O+NaNO3,,,,,NaNO3*Na2SO4*H2O+NaNO3,,
33.49,7.51,59,100,25,-,NaNO3*Na2SO4*H2O+NaNO3,,,,,,,
36.35,6.75,56.9,100,25,-,NaNO3*Na2SO4*H2O+NaNO3,,,,,,,
40.15,5.49,54.36,100,25,-,NaNO3*Na2SO4*H2O+NaNO3,,,,,,,
43.58,5,51.42,100,25,-,NaNO3*Na2SO4*H2O+NaNO3,,,,,,,
43.5,5.2,51.3,100,25,-,NaNO3*Na2SO4*H2O+NaNO3,,,,,,,
43.93,4.89,51.18,100,25,-,NaNO3,,,,,NaNO3,,
43.79,4.99,51.22,100,25,-,NaNO3,,,,,,,
45.28,3.13,51.59,100,25,-,NaNO3,,,,,,,
47.75,0.75,51.5,100,25,-,NaNO3,,,,,,,
47.9,0,52.1,100,25,-,NaNO3,,,,,,,
