Name,\\pi3\LR09144901L%P2O5,
Data Type,Float 32,
Number of Values,15682,
Time,Value,Value Attributes
02/03/2023 16:21:39.5,15.5,
02/03/2023 16:11:39.5,15.5,
02/03/2023 16:01:39.5,15.5,
02/03/2023 15:51:39.5,15.5,
02/03/2023 15:41:39.5,15.5,
02/03/2023 15:31:39.5,15.5,
02/03/2023 15:21:39.5,15.5,
02/03/2023 15:11:39.5,15.5,
02/03/2023 15:01:39.5,15.5,
02/03/2023 14:51:39.5,15.5,
02/03/2023 14:41:39.5,15.5,
02/03/2023 14:31:39.5,15.5,
02/03/2023 14:21:39.5,15.5,
02/03/2023 14:11:39.5,15.5,
02/03/2023 14:01:39.5,15.5,
02/03/2023 13:51:39.5,15.5,
02/03/2023 13:41:39.5,15.5,
02/03/2023 13:31:39.5,15.5,
02/03/2023 13:21:39.5,15.5,
02/03/2023 13:11:39.5,15.5,
02/03/2023 13:01:39.5,15.5,
02/03/2023 12:51:39.5,15.5,
02/03/2023 12:41:39.5,15.5,
02/03/2023 12:31:39.5,15.5,
02/03/2023 12:21:39.5,15.5,
02/03/2023 12:11:39.5,15.5,
02/03/2023 12:01:39.5,15.5,
02/03/2023 11:58:40.9,17.6,
02/03/2023 11:48:40.9,17.6,
02/03/2023 11:38:40.9,17.6,
02/03/2023 11:28:40.9,17.6,
02/03/2023 11:18:40.9,17.6,
02/03/2023 11:08:41.0,17.6,
02/03/2023 10:58:40.9,17.6,
02/03/2023 10:48:40.9,17.6,
02/03/2023 10:38:40.9,17.6,
02/03/2023 10:28:40.9,17.6,
02/03/2023 10:18:40.9,17.6,
02/03/2023 10:08:40.9,17.6,
02/03/2023 09:58:40.9,17.6,
02/03/2023 09:48:40.9,17.6,
02/03/2023 09:38:41.0,17.6,
02/03/2023 09:28:40.9,17.6,
02/03/2023 09:18:40.9,17.6,
02/03/2023 09:08:40.9,17.6,
02/03/2023 08:58:40.9,17.6,
02/03/2023 08:48:40.9,17.6,
02/03/2023 08:38:40.9,17.6,
02/03/2023 08:28:40.9,17.6,
02/03/2023 08:18:40.9,17.6,
02/03/2023 08:08:41.0,17.6,
02/03/2023 07:58:40.9,17.6,
02/03/2023 07:48:40.9,17.6,
02/03/2023 07:38:40.9,17.6,
02/03/2023 07:28:40.9,17.6,
02/03/2023 07:18:40.9,17.6,
02/03/2023 07:08:40.9,17.6,
02/03/2023 06:58:40.9,17.6,
02/03/2023 06:48:40.9,17.6,
02/03/2023 06:38:41.0,17.6,
02/03/2023 06:28:40.9,17.6,
02/03/2023 06:18:40.9,17.6,
02/03/2023 06:16:10.4,16.85,
02/03/2023 06:06:10.4,16.85,
02/03/2023 05:56:10.4,16.85,
02/03/2023 05:46:10.4,16.85,
02/03/2023 05:36:10.4,16.85,
