Name,\\pi3\LR09144901L%P2O5
Data Type,Float 32
Number of Values,15790
Time,Value,Value Attributes
20-Jun-2023 15:56:01.62596,15.59
20-Jun-2023 15:46:01.62596,15.59
20-Jun-2023 15:26:01.62596,15.59
20-Jun-2023 14:53:59.60231,15.53
20-Jun-2023 14:43:59.60231,15.53
20-Jun-2023 14:33:59.60231,15.53
20-Jun-2023 14:23:59.60231,15.53
20-Jun-2023 14:13:59.60231,15.53
20-Jun-2023 14:03:59.60231,15.53
20-Jun-2023 13:53:59.60231,15.53
20-Jun-2023 13:43:59.60231,15.53
20-Jun-2023 13:33:59.60231,15.53
20-Jun-2023 13:23:59.60231,15.53
20-Jun-2023 13:13:59.60231,15.53
20-Jun-2023 13:03:59.60231,15.53
20-Jun-2023 12:53:59.60231,15.53
20-Jun-2023 12:43:59.60231,15.53
20-Jun-2023 12:33:59.60231,15.53
20-Jun-2023 12:23:59.60231,15.53
20-Jun-2023 12:13:59.60231,15.53
20-Jun-2023 12:03:59.60231,15.53
20-Jun-2023 11:53:59.60231,15.53
20-Jun-2023 11:51:02.92413,15.51
20-Jun-2023 11:41:02.92413,15.51
20-Jun-2023 11:31:02.92413,15.51
20-Jun-2023 11:21:02.92413,15.51
20-Jun-2023 11:11:02.92413,15.51
20-Jun-2023 11:01:02.92413,15.51
20-Jun-2023 10:51:02.92413,15.51
20-Jun-2023 10:41:02.92413,15.51
20-Jun-2023 10:31:02.92413,15.51
20-Jun-2023 10:21:02.92413,15.51
20-Jun-2023 10:17:25.4034,15.40
20-Jun-2023 10:07:25.4034,15.40
20-Jun-2023 09:57:25.4034,15.40
20-Jun-2023 09:47:25.4034,15.40
20-Jun-2023 09:37:25.4034,15.40
20-Jun-2023 09:27:25.4034,15.40
20-Jun-2023 09:17:25.4034,15.40
20-Jun-2023 09:07:25.4034,15.40
20-Jun-2023 08:57:25.4034,15.40
20-Jun-2023 08:49:20.61356,15.50
20-Jun-2023 08:39:20.61356,15.50
20-Jun-2023 08:29:20.61356,15.50
20-Jun-2023 08:19:20.61356,15.50
20-Jun-2023 08:09:20.61356,15.50
20-Jun-2023 07:59:20.61356,15.50
20-Jun-2023 07:49:20.61356,15.50
20-Jun-2023 07:39:20.61356,15.50
20-Jun-2023 07:29:20.61356,15.50
20-Jun-2023 07:19:20.61356,15.50
20-Jun-2023 07:09:20.61356,15.50
20-Jun-2023 06:59:20.61356,15.50
20-Jun-2023 06:49:20.61356,15.50
20-Jun-2023 06:39:20.61356,15.50
20-Jun-2023 06:29:20.61356,15.50
20-Jun-2023 06:19:20.61356,15.50
20-Jun-2023 06:17:27.853,15.70
20-Jun-2023 06:07:27.853,15.70
20-Jun-2023 05:57:27.853,15.70
20-Jun-2023 05:47:27.853,15.70
20-Jun-2023 05:37:27.853,15.70
20-Jun-2023 05:27:27.853,15.70
20-Jun-2023 05:17:27.853,15.70
20-Jun-2023 05:07:27.853,15.70
20-Jun-2023 04:57:27.853,15.70
20-Jun-2023 04:47:27.853,15.70
20-Jun-2023 04:37:27.853,15.70
20-Jun-2023 04:27:27.853,15.70
20-Jun-2023 04:25:10.20779,15.80
20-Jun-2023 04:15:10.20779,15.80
20-Jun-2023 04:05:10.20779,15.80
20-Jun-2023 03:55:10.20779,15.80
20-Jun-2023 03:45:10.20779,15.80
20-Jun-2023 03:35:10.20779,15.80
20-Jun-2023 03:25:10.20779,15.80
20-Jun-2023 03:15:10.20779,15.80
20-Jun-2023 03:05:10.20779,15.80
20-Jun-2023 02:55:10.20779,15.80
20-Jun-2023 02:45:10.20779,15.80
20-Jun-2023 02:35:10.20779,15.80
20-Jun-2023 02:25:10.20779,15.80
20-Jun-2023 02:15:10.20779,15.80
20-Jun-2023 02:05:10.20779,15.80
20-Jun-2023 01:55:10.20779,15.80
20-Jun-2023 01:45:10.20779,15.80
20-Jun-2023 01:41:02.9119,15.60
20-Jun-2023 01:31:02.9119,15.60
20-Jun-2023 01:21:02.9119,15.60
20-Jun-2023 01:11:02.9119,15.60
20-Jun-2023 01:01:02.9119,15.60
20-Jun-2023 00:51:02.9119,15.60
20-Jun-2023 00:41:02.9119,15.60
20-Jun-2023 00:31:02.9119,15.60
20-Jun-2023 00:21:02.9119,15.60
20-Jun-2023 00:11:02.9119,15.60
20-Jun-2023 00:01:02.9119,15.60
20-Jun-2023 00:00:26.05627,15.90
19-Jun-2023 23:50:26.05627,15.90
19-Jun-2023 23:40:26.05627,15.90
19-Jun-2023 23:30:26.05627,15.90
19-Jun-2023 23:20:26.05627,15.90
19-Jun-2023 23:10:26.05627,15.90
19-Jun-2023 23:00:26.05627,15.90
19-Jun-2023 22:50:26.05627,15.90
19-Jun-2023 22:40:26.05627,15.90
19-Jun-2023 22:30:26.05627,15.90
19-Jun-2023 22:20:26.05627,15.90
19-Jun-2023 22:10:26.05627,15.90
19-Jun-2023 22:00:26.05627,15.90
19-Jun-2023 21:50:26.05627,15.90
19-Jun-2023 21:45:27.9447,15.76
19-Jun-2023 21:35:27.9447,15.76
19-Jun-2023 21:25:27.9447,15.76
19-Jun-2023 21:15:27.9447,15.76
19-Jun-2023 21:05:27.9447,15.76
19-Jun-2023 20:55:27.9447,15.76
19-Jun-2023 20:45:27.9447,15.76
19-Jun-2023 20:35:27.9447,15.76
19-Jun-2023 20:25:27.9447,15.76
19-Jun-2023 20:15:27.9447,15.76
19-Jun-2023 20:05:27.9447,15.76
19-Jun-2023 19:55:27.9447,15.76
19-Jun-2023 19:45:27.9447,15.76
19-Jun-2023 19:39:51.91473,15.65
19-Jun-2023 19:29:51.91473,15.65
19-Jun-2023 19:19:51.91473,15.65
19-Jun-2023 19:09:51.91473,15.65
19-Jun-2023 18:59:51.91473,15.65
19-Jun-2023 18:49:51.91473,15.65
19-Jun-2023 18:39:51.91473,15.65
19-Jun-2023 18:29:51.91473,15.65
19-Jun-2023 18:19:51.91473,15.65
19-Jun-2023 18:09:51.91473,15.65
19-Jun-2023 17:59:51.91473,15.65
19-Jun-2023 17:49:51.91473,15.65
19-Jun-2023 17:39:51.91473,15.65
