Time,\\pi3\LR09144901L%P2O5,\\pi3\MKP_LAB449SO4%,\\pi3\MKP_DT_40450
08/10/2023 08:46:26.438,,,1.1664
08/10/2023 08:44:24.983,15.15,,
08/10/2023 08:39:58.968,,4.45,
08/10/2023 08:36:25.885,,,1.1674
08/10/2023 08:34:24.983,15.15,,
08/10/2023 08:31:11.380,,,1.162
08/10/2023 08:29:58.968,,4.45,
08/10/2023 08:28:51.298,,,1.1687
08/10/2023 08:26:23.133,,,1.1574
08/10/2023 08:24:24.983,15.15,,
08/10/2023 08:24:12.417,,,1.1441
08/10/2023 08:19:58.968,,4.45,
08/10/2023 08:14:24.983,15.15,,
08/10/2023 08:09:58.968,,4.45,
08/10/2023 08:09:27.521,,,1.146
08/10/2023 08:04:24.983,15.15,,
08/10/2023 07:59:58.968,,4.45,
08/10/2023 07:54:24.983,15.15,,
08/10/2023 07:49:58.968,,4.45,
08/10/2023 07:44:24.983,15.15,,
08/10/2023 07:39:58.968,,4.45,
08/10/2023 07:34:24.983,15.15,,
08/10/2023 07:29:58.968,,4.45,
08/10/2023 07:24:24.983,15.15,,
08/10/2023 07:19:58.968,,4.45,
08/10/2023 07:14:24.983,15.15,,
08/10/2023 07:13:24.525,,,1.1458
08/10/2023 07:12:21.188,,,1.1425
08/10/2023 07:09:58.968,,4.45,
08/10/2023 07:06:49.360,,,1.1451
08/10/2023 07:04:24.983,15.15,,
08/10/2023 06:59:58.968,,4.45,
08/10/2023 06:54:24.983,15.15,,
08/10/2023 06:49:58.968,,4.45,
08/10/2023 06:44:24.983,15.15,,
08/10/2023 06:39:58.968,,4.45,
08/10/2023 06:34:24.983,15.15,,
08/10/2023 06:29:58.968,,4.45,
08/10/2023 06:24:24.983,15.15,,
08/10/2023 06:19:58.968,,4.45,
08/10/2023 06:14:24.983,15.15,,
08/10/2023 06:09:58.968,,4.45,
08/10/2023 06:04:24.983,15.15,,
08/10/2023 05:59:58.968,,4.45,
08/10/2023 05:54:24.983,15.15,,
08/10/2023 05:49:58.968,,4.45,
08/10/2023 05:44:24.983,15.15,,
08/10/2023 05:39:58.968,,4.45,
08/10/2023 05:34:24.983,15.15,,
08/10/2023 05:29:58.968,,4.45,
08/10/2023 05:24:24.983,15.15,,
08/10/2023 05:19:58.968,,4.45,
08/10/2023 05:14:24.983,15.15,,
08/10/2023 05:09:58.968,,4.45,
08/10/2023 05:04:24.983,15.15,,
08/10/2023 04:59:58.968,,4.45,
08/10/2023 04:54:24.983,15.15,,
08/10/2023 04:52:43.362,,,1.1396
08/10/2023 04:49:58.968,,4.45,
08/10/2023 04:49:36.387,,,1.1475
08/10/2023 04:46:19.136,,,1.1554
08/10/2023 04:44:24.983,15.15,,
08/10/2023 04:39:58.968,,4.45,
08/10/2023 04:34:24.983,15.15,,
08/10/2023 04:29:58.968,,4.45,
08/10/2023 04:24:24.983,15.15,,
08/10/2023 04:19:58.968,,4.45,
08/10/2023 04:14:24.983,15.15,,
08/10/2023 04:09:58.968,,4.45,
08/10/2023 04:04:24.983,15.15,,
08/10/2023 03:59:58.968,,4.45,
08/10/2023 03:54:24.983,15.15,,
08/10/2023 03:49:58.968,,4.45,
08/10/2023 03:44:24.983,15.15,,
08/10/2023 03:39:58.968,,4.45,
08/10/2023 03:38:46.626,,,1.1558
08/10/2023 03:34:24.983,15.15,,
08/10/2023 03:31:30.167,,,1.1649
08/10/2023 03:29:58.968,,4.45,
08/10/2023 03:24:24.983,15.15,,
08/10/2023 03:19:58.968,,4.45,
