Name,\\pi3\LRSILOMKPS%SO4,
Data Type,Float 32,
Number of Values,99,
Time,Value,Value Attributes
02/03/2023 14:05:17.0,0.76,
01/03/2023 13:42:57.0,0.374,
28/02/2023 13:44:04.0,0.438,
27/02/2023 13:39:07.0,0.467,
26/02/2023 13:32:51.0,0.4835,
26/02/2023 13:13:55.0,0.491,
24/02/2023 12:51:32.0,0.45,
23/02/2023 13:55:20.0,0.39,
22/02/2023 14:07:38.0,0.38,
21/02/2023 14:42:38.0,0.3,
21/02/2023 07:54:15.0,0.3,
19/02/2023 14:29:01.0,0.4,
19/02/2023 14:23:38.0,0.38,
17/02/2023 13:42:06.0,0.446,
16/02/2023 13:38:18.0,0.377,
15/02/2023 13:52:48.0,0.614,
13/02/2023 12:32:28.0,0.567,
12/02/2023 13:21:39.0,0.595,
12/02/2023 13:17:05.0,0.515,
10/02/2023 12:35:22.0,0.573,
09/02/2023 14:47:45.0,0.611,
08/02/2023 14:05:11.0,0.42,
07/02/2023 12:02:00.0,0.482,
06/02/2023 13:57:23.0,0.483,
05/02/2023 13:32:15.0,0.483,
04/02/2023 13:08:04.0,0.474,
03/02/2023 12:32:23.0,0.486,
02/02/2023 13:34:48.0,0.56,
01/02/2023 14:43:49.0,0.53,
01/02/2023 14:35:20.0,0.56,
31/01/2023 14:12:52.0,0.47,
30/01/2023 14:21:29.0,0.6,
29/01/2023 14:04:12.0,0.59,
28/01/2023 12:33:56.0,0.503,
27/01/2023 12:48:43.0,0.556,
26/01/2023 12:09:31.0,0.855,
25/01/2023 11:53:17.0,0.72,
24/01/2023 12:54:10.0,0.55,
23/01/2023 13:10:28.0,0.576,
22/01/2023 14:12:14.0,0.687,
22/01/2023 14:01:25.0,0.712,
20/01/2023 13:17:32.0,0.57,
19/01/2023 12:53:29.0,0.386,
18/01/2023 13:08:37.0,0.43,
17/01/2023 13:11:02.0,0.396,
16/01/2023 09:14:39.0,0.454,
15/01/2023 13:50:48.0,0.491,
15/01/2023 13:45:00.0,0.512,
13/01/2023 09:21:28.0,0.547,
12/01/2023 14:20:10.0,0.538,
11/01/2023 13:35:35.0,0.563,
10/01/2023 13:15:49.0,0.639,
09/01/2023 13:39:44.0,0.536,
08/01/2023 11:33:34.0,0.51,
08/01/2023 11:31:55.0,0.442,
06/01/2023 13:21:17.0,0.425,
05/01/2023 14:02:15.0,0.456,
03/01/2023 11:51:00.0,0.53,
02/01/2023 11:38:23.0,0.618,
01/01/2023 14:25:24.0,0.63,
01/01/2023 14:07:24.0,0.6,
30/12/2022 12:17:01.0,0.396,
29/12/2022 13:56:28.0,0.507,
28/12/2022 13:47:39.0,0.442,
27/12/2022 13:14:26.0,0.564,
26/12/2022 11:34:07.0,0.528,
25/12/2022 14:34:27.0,0.457,
24/12/2022 13:14:44.0,0.66,
23/12/2022 13:49:50.0,0.508,
22/12/2022 12:04:14.0,0.425,
21/12/2022 11:42:04.0,0.53,
20/12/2022 12:13:34.0,0.517,
19/12/2022 12:03:20.0,0.574,
18/12/2022 11:57:58.0,0.586,
18/12/2022 11:56:59.0,0.399,
16/12/2022 10:15:02.0,0.394,
15/12/2022 13:55:54.0,0.375,
14/12/2022 13:34:16.0,0.349,
13/12/2022 14:37:53.0,0.376,
12/12/2022 13:19:10.0,0.456,
11/12/2022 14:06:07.0,0.49,
11/12/2022 13:58:12.0,0.43,
09/12/2022 13:19:03.0,0.36,
08/12/2022 14:29:54.0,0.433,
07/12/2022 11:57:47.0,0.51,
06/12/2022 13:31:40.0,0.37,
05/12/2022 12:56:30.0,0.38,
04/12/2022 12:45:51.0,0.369,
04/12/2022 12:41:42.0,0.356,
02/12/2022 11:05:00.0,0.293,
01/12/2022 13:55:48.0,0.31,
30/11/2022 11:18:42.0,0.298,
29/11/2022 11:51:41.0,0.509,
28/11/2022 11:39:09.0,0.375,
27/11/2022 11:47:08.0,0.31,
26/11/2022 11:01:03.0,0.294,
25/11/2022 13:10:51.0,0.384,
25/11/2022 13:07:16.0,0.324,
24/11/2022 13:48:08.0,1,
