Name,\\pi3\LRSILOMKPS%SO4
Data Type,Float 32
Number of Values,100
Time,Value,Value Attributes
20-Jun-2023 12:13:21,0.52
19-Jun-2023 12:41:03,0.454
18-Jun-2023 13:52:38,0.38
18-Jun-2023 13:47:23,0.36
16-Jun-2023 12:40:59,0.387
15-Jun-2023 11:42:50,0.403
14-Jun-2023 14:10:03,0.38
12-Jun-2023 13:21:56,0.467
11-Jun-2023 09:38:00,0.51
11-Jun-2023 09:09:16,0.51
9-Jun-2023 12:56:49,0.5
8-Jun-2023 11:22:15,0.525
7-Jun-2023 08:57:12,0.517
6-Jun-2023 13:50:16,0.4
5-Jun-2023 14:55:06,0.423
4-Jun-2023 13:43:38,0.35
4-Jun-2023 13:31:12,0.36
2-Jun-2023 09:43:59,0.468
1-Jun-2023 11:33:55,0.385
31-May-2023 16:03:04,0.449
29-May-2023 11:48:19,0.449
28-May-2023 12:02:48,0.463
28-May-2023 12:01:11,0.468
26-May-2023 12:00:55,0.456
25-May-2023 12:39:40,0.468
24-May-2023 13:14:28,0.39
23-May-2023 13:26:30,0.31
22-May-2023 12:01:56,0.39
20-May-2023 09:45:16,0.361
19-May-2023 13:10:01,0.366
18-May-2023 14:45:43,0.319
17-May-2023 14:13:24,0.333
16-May-2023 11:30:42,0.367
16-May-2023 11:26:49,0.342
14-May-2023 13:43:21,0.353
14-May-2023 13:36:51,0.36
14-May-2023 13:32:53,0.361
9-May-2023 11:36:53,0.344
8-May-2023 14:25:50,0.344
7-May-2023 11:29:49,0.365
7-May-2023 11:22:54,0.359
5-May-2023 12:56:27,0.33
4-May-2023 13:02:38,0.351
3-May-2023 11:32:27,0.323
2-May-2023 14:05:56,0.34
1-May-2023 13:28:20,0.333
30-Apr-2023 13:25:13,0.356
30-Apr-2023 13:19:16,0.35
28-Apr-2023 11:44:21,0.352
27-Apr-2023 14:38:27,0.377
26-Apr-2023 09:10:05,0.279
25-Apr-2023 12:28:15,0.376
24-Apr-2023 13:09:46,0.375
23-Apr-2023 13:14:49,0.35
23-Apr-2023 13:08:32,0.351,S
21-Apr-2023 12:29:28,0.381
20-Apr-2023 14:03:23,0.39
19-Apr-2023 13:56:26,0.4
18-Apr-2023 14:04:20,0.39
17-Apr-2023 13:33:36,0.41
16-Apr-2023 13:25:52,0.38
16-Apr-2023 13:17:51,0.38
14-Apr-2023 12:49:21,0.373
13-Apr-2023 11:38:42,0.359
13-Apr-2023 11:36:48,0.353
11-Apr-2023 13:05:09,0.376
10-Apr-2023 12:20:27,0.41
10-Apr-2023 10:54:09,0.321
9-Apr-2023 14:53:19,0.349
8-Apr-2023 14:07:37,0.382
8-Apr-2023 14:03:23,0.341
7-Apr-2023 14:08:12,0.398
7-Apr-2023 14:03:04,0.303
4-Apr-2023 13:56:40,0.346
3-Apr-2023 14:08:30,0.351
2-Apr-2023 13:50:06,0.48
2-Apr-2023 11:38:46,0.9
29-Mar-2023 13:44:07,0.354
28-Mar-2023 12:54:07,0.374
27-Mar-2023 13:01:53,0.357
26-Mar-2023 14:25:50,0.35
26-Mar-2023 14:10:00,0.41
24-Mar-2023 12:53:14,0.38
23-Mar-2023 13:30:23,0.344
22-Mar-2023 13:21:49,0.385
21-Mar-2023 13:29:52,0.335
20-Mar-2023 13:13:02,0.295
19-Mar-2023 14:21:58,0.362
19-Mar-2023 14:14:55,0.391
17-Mar-2023 13:19:20,0.37
16-Mar-2023 14:05:30,0.36
15-Mar-2023 13:43:40,0.35
14-Mar-2023 14:20:31,0.36
13-Mar-2023 13:35:03,0.36
12-Mar-2023 14:09:25,0.37
12-Mar-2023 13:57:31,0.36
12-Mar-2023 13:46:45,0.32
9-Mar-2023 13:16:45,0.368
8-Mar-2023 13:40:07,0.424
6-Mar-2023 12:17:49,0.345
