Name,\\pi3\FIC-40425
Data Type,Float 32
Number of Values,25235
Time,Value,Value Attributes
20-Jun-2023 16:14:12.33371,32.19
20-Jun-2023 16:11:30.5094,33.80
20-Jun-2023 16:10:24.40419,32.38
20-Jun-2023 16:06:40.58194,33.30
20-Jun-2023 16:05:13.02536,32.77
20-Jun-2023 16:03:02.66507,34.13
20-Jun-2023 15:49:46.57436,33.18
20-Jun-2023 15:48:46.45853,32.18
20-Jun-2023 15:47:28.05054,34.61
20-Jun-2023 15:46:05.50827,32.88
20-Jun-2023 15:44:41.64894,34.24
20-Jun-2023 15:43:41.24908,32.28
20-Jun-2023 15:40:32.98109,33.11
20-Jun-2023 15:25:46.06161,32.79
20-Jun-2023 15:14:14.90359,32.62
20-Jun-2023 15:04:43.12917,33.17
20-Jun-2023 14:58:48.8576,34.07
20-Jun-2023 14:57:48.66377,33.22
20-Jun-2023 14:55:44.26985,32.53
20-Jun-2023 14:54:39.03172,34.36
20-Jun-2023 14:53:37.8718,31.86
20-Jun-2023 14:42:34.74356,32.96
20-Jun-2023 14:41:34.61174,32.67
20-Jun-2023 14:37:11.45897,32.86
20-Jun-2023 14:36:11.22714,32.63
20-Jun-2023 14:34:31.18576,33.85
20-Jun-2023 14:33:30.91293,32.62
20-Jun-2023 14:31:45.83124,33.15
20-Jun-2023 14:28:47.33287,31.89
20-Jun-2023 14:27:32.87813,33.40
20-Jun-2023 14:25:59.00714,32.17
20-Jun-2023 14:21:48.91321,32.55
20-Jun-2023 14:18:14.47656,33.07
20-Jun-2023 14:16:35.60025,33.22
20-Jun-2023 14:13:35.79381,33.23
20-Jun-2023 14:11:50.39709,32.95
20-Jun-2023 14:08:24.80701,33.95
20-Jun-2023 14:07:19.41383,32.62
20-Jun-2023 14:04:41.79379,34.00
20-Jun-2023 14:03:02.52347,32.18
20-Jun-2023 14:00:57.05348,32.74
20-Jun-2023 13:59:57.04765,35.55
20-Jun-2023 13:58:48.89732,31.66
20-Jun-2023 13:57:33.50052,34.15
20-Jun-2023 13:56:22.22098,32.10
20-Jun-2023 13:54:33.35304,33.20
20-Jun-2023 13:49:31.1468,34.06
20-Jun-2023 13:48:12.82881,32.05
20-Jun-2023 13:45:18.84372,34.23
20-Jun-2023 13:44:06.52512,33.59
20-Jun-2023 13:42:49.22319,32.33
20-Jun-2023 13:35:23.69283,33.24
20-Jun-2023 13:27:29.83664,33.25
20-Jun-2023 13:21:21.60219,33.81
20-Jun-2023 13:20:20.5733,33.11
20-Jun-2023 13:10:53.8952,33.93
20-Jun-2023 13:08:40.64873,35.49
20-Jun-2023 13:07:40.6259,33.54
20-Jun-2023 12:54:56.60524,33.86
20-Jun-2023 12:53:55.51534,35.95
20-Jun-2023 12:52:54.50446,33.96
20-Jun-2023 12:49:11.74127,33.17
20-Jun-2023 12:23:15.42114,33.94
20-Jun-2023 12:21:18.47969,34.65
20-Jun-2023 12:20:14.41362,33.23
20-Jun-2023 12:00:13.99716,33.18
20-Jun-2023 11:59:07.91895,33.98
20-Jun-2023 11:58:07.84613,32.20
20-Jun-2023 11:53:46.39948,32.16
20-Jun-2023 11:44:56.28371,33.39
20-Jun-2023 11:43:09.46591,32.07
20-Jun-2023 11:38:29.51907,32.97
20-Jun-2023 11:32:22.35069,33.20
20-Jun-2023 11:21:18.79942,32.58
20-Jun-2023 11:20:17.74654,32.89
20-Jun-2023 11:03:43.84723,33.91
20-Jun-2023 11:01:45.6627,32.74
20-Jun-2023 10:46:03.4437,32.96
20-Jun-2023 10:20:25.33673,33.99
20-Jun-2023 10:07:11.64018,32.88
20-Jun-2023 10:04:32.87007,33.47
20-Jun-2023 10:03:27.68292,32.46
20-Jun-2023 10:02:23.56883,33.25
20-Jun-2023 10:01:21.55289,31.89
20-Jun-2023 09:59:59.20663,33.40
20-Jun-2023 09:57:41.9039,32.02
20-Jun-2023 09:54:23.39925,32.83
20-Jun-2023 09:50:50.82771,33.45
20-Jun-2023 09:47:49.78018,33.18
20-Jun-2023 09:44:57.84422,33.23
20-Jun-2023 09:43:41.58437,32.66
20-Jun-2023 09:38:17.1627,33.70
20-Jun-2023 09:32:42.36838,32.92
20-Jun-2023 09:27:22.89003,32.23
20-Jun-2023 09:25:50.31114,33.77
20-Jun-2023 09:24:07.6376,31.75
20-Jun-2023 09:23:06.59471,36.95
20-Jun-2023 09:22:05.57283,34.34
20-Jun-2023 09:21:04.47993,31.77
20-Jun-2023 09:20:03.42004,31.72
20-Jun-2023 09:19:00.36403,29.01
20-Jun-2023 09:17:59.22313,30.60
