Name,\\pi3\MKP_DT_40450,
Data Type,Float 32,
Number of Values,25401,
Time,Value,Value Attributes
02/03/2023 16:24:00.73,1.257,
02/03/2023 15:19:09.57,1.2516,
02/03/2023 15:16:14.01,1.181,
02/03/2023 15:15:10.92,1.1984,
02/03/2023 15:13:58.28,1.1981,
02/03/2023 15:12:56.03,1.1078,
02/03/2023 15:11:55.75,1.0649,
02/03/2023 15:10:38.10,1.0568,
02/03/2023 15:09:14.28,1.0641,
02/03/2023 15:08:07.94,1.1432,
02/03/2023 15:07:06.63,1.2091,
02/03/2023 15:06:06.46,1.2322,
02/03/2023 15:05:05.30,1.225,
02/03/2023 15:04:00.05,1.1989,
02/03/2023 15:02:58.70,1.1186,
02/03/2023 15:01:55.53,1.0506,
02/03/2023 15:00:21.75,1.0468,
02/03/2023 14:58:56.87,1.0432,
02/03/2023 14:57:34.19,1.0404,
02/03/2023 14:56:17.60,1.0714,
02/03/2023 14:55:16.31,1.1791,
02/03/2023 14:54:15.99,1.1896,
02/03/2023 14:52:50.07,1.2167,
02/03/2023 14:51:42.71,1.2596,
02/03/2023 14:48:48.49,1.2127,
02/03/2023 14:46:58.43,1.2098,
02/03/2023 14:45:47.14,1.2302,
02/03/2023 14:44:41.76,1.2225,
02/03/2023 14:43:34.42,1.1978,
02/03/2023 14:41:42.31,1.1926,
02/03/2023 14:40:40.33,1.1951,
02/03/2023 14:39:39.15,1.2022,
02/03/2023 14:37:20.38,1.1906,
02/03/2023 14:36:16.18,1.1998,
02/03/2023 14:35:10.98,1.2321,
02/03/2023 14:34:03.74,1.1901,
02/03/2023 14:33:03.62,1.1921,
02/03/2023 14:31:29.76,1.2025,
02/03/2023 14:29:45.77,1.1977,
02/03/2023 14:28:39.58,1.186,
02/03/2023 14:27:01.66,1.1755,
02/03/2023 14:25:32.97,1.1695,
02/03/2023 14:23:54.06,1.1775,
02/03/2023 14:22:46.64,1.1868,
02/03/2023 14:20:45.37,1.1733,
02/03/2023 14:19:42.14,1.1879,
