SO4_in,FA_in,DCP_in,SO4,FA,P2O5_norm,exp
3.5432,44.1176470588235,39.7307914468193,1.7787,17.1987641606591,1.03129605623734,exp1
3.5432,44.1176470588235,46.7421075844933,1.61172,14.2121524201854,1.33418381984987,exp1
3.5432,44.1176470588235,53.7534237221673,1.43143,11.6947472745292,1.78559851572739,exp1
3.5432,44.1176470588235,60.7647398598413,1.3224,9.75359342915811,1.8067259420946,exp1
3.61182,52.5,33.2044509861419,1.73556,26.109391124871,1.2784366054216,exp2
3.61182,52.5,39.0640599836963,1.50787,23.0448383733055,1.30063890921072,exp2
3.61182,52.5,44.9236689812508,1.28216,18.3303085299456,1.6396367983226,exp2
3.61182,52.5,50.7832779788052,1.15506,15.3439153439153,1.6793895639359,exp2
3.546,41.9753086419753,48.1611135844767,1.548,13.5922330097087,1.58024190679573,exp4
3.546,41.9753086419753,48.1611135844767,1.548,13.5922330097087,1.58024190679573,exp4
3.546,41.9753086419753,55.3852806221482,1.44056,11.2244897959184,1.75311864093404,exp4
3.546,41.9753086419753,62.6094476598198,1.37192,9.61538461538462,2.33968055882646,exp4
3.15645,37.3333333333333,46.223478589122,1.62281,13.6842105263158,1.26494899078895,exp7
3.15645,37.3333333333333,54.3805630460259,1.48603,11.340206185567,1.53596150580697,exp7
3.15645,37.3333333333333,62.5376475029298,1.39922,9.18367346938775,2.0761800720865,exp7
3.15645,37.3333333333333,70.6947319598337,1.3311,7.54716981132076,2.46615102122547,exp7
3.21264,48.4375,35.9576897475555,1.424,20.0,0.877430345937249,exp8
3.21264,48.4375,42.3031644088888,1.25664,17.3469387755102,1.21143181315366,exp8
3.21264,48.4375,48.6486390702222,1.1736,14.8514851485148,1.51090731456155,exp8
3.21264,48.4375,54.9941137315555,1.0787,12.8712871287129,2.10993639581657,exp8
3.17988,57.7039274924471,29.8573774179341,1.2664,28.2178217821782,0.922752144650929,exp9
3.17988,57.7039274924471,35.1263263740401,1.0569,24.3731193580742,1.1326227604219,exp9
3.17988,57.7039274924471,40.3952753301461,0.9309,20.4901960784314,1.2410533380211,exp9
3.17988,57.7039274924471,45.6642242862522,0.87596,18.034188034188,1.58738143967855,exp9
